source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
WorkPlays - Unity programmer role page,job_posting,https://workplays.it/en/role/programista-unity,2026,"Junior 6,000-9,000 PLN/mo; Mid 9,000-14,000 PLN/mo; Senior 14,000-22,000 PLN/mo",high,"Polish gamedev-only job board. Bands taken from live Unity postings (Joyteractive, Reality Games). Best local Unity-specific source found"
WSPA - Praca w GameDev w Polsce 2026,salary_survey,https://wspa.pl/blog/praca-w-gamedev-w-polsce-2026-zarobki-i-perspektywy/,2026,"UoP net/mo: junior 5,700; mid 8,500; senior 12,000; lead 13,500. B2B net/mo: junior 9,200; mid 16,000; senior 24,000; lead 26,000",high,"Median figures for the Polish gamedev sector, split by contract type. Net — converted to gross at roughly x1.40-1.45 for UoP. Only source with Lead-level data"
Glassdoor - Senior Unity Developer Poland,aggregator,https://www.glassdoor.com/Salaries/poland-senior-unity-developer-salary-SRCH_IL.0%2C6_IN193_KO7%2C29_IP4.htm,2026-01,"Median 17,833 PLN/mo; P25 14,750; P75 24,417; P90 30,417 (n=5)",medium,"Small sample (n=5). Site labels the figures as annual but they are clearly monthly. P90 used to set the premium senior ceiling"
Glassdoor - Senior Unity Developer Warsaw,aggregator,https://www.glassdoor.com/Salaries/warsaw-poland-senior-unity-developer-salary-SRCH_IL.0%2C13_IM1114_KO14%2C36.htm,2026-03,"Median 15,249 PLN/mo; P25 14,239; P75 29,259 (n=3)",low,"n=3, Warsaw only. Wide P25-P75 spread; used only as a cross-check"
Glassdoor - Unity Developer Warsaw,aggregator,https://www.glassdoor.com/Salaries/warsaw-unity-developer-salary-SRCH_IL.0%2C6_IM1114_KO7%2C22.htm,2026,All-levels Unity Developer Warsaw pay range,low,Small sample; used for sanity-checking the mid band
ERI SalaryExpert - Unity Developer Poland,aggregator,https://www.erieri.com/salary/job/unity-developer/poland,2026,"Average 183,709 PLN/yr (~15,300 PLN/mo); range 126,208-224,308 PLN/yr; entry (1-3 yrs) 128,460 PLN/yr; senior (8+ yrs) 208,522 PLN/yr",medium,"Modelled data, not survey-based. Aligns with WorkPlays mid/senior bands. Used as a third confirming source for Middle and Senior"
SalaryExpert - Game Developer Warsaw,aggregator,https://www.salaryexpert.com/salary/job/game-developer/poland/warsaw,2026,"Entry (1-3 yrs) 184,598 PLN/yr; senior (8+ yrs) 299,417 PLN/yr",low,"Game Developer (not Unity-specific) and Warsaw-only; figures run high vs all other sources — treated as an upper outlier and excluded from the ranges"
Jobicy - Game Developer Poland,aggregator,https://jobicy.com/salaries/pl/game-developer,2026,"Average ~$44,000/yr; entry $26,400-35,200; senior $52,800-79,200",low,"Page returned 403 on fetch; figures taken from search snippet only. Remote-first sample, USD-denominated — used directionally"
Glassdoor Jobs - Unity Developer Poland listings,job_posting,https://www.glassdoor.com/Job/poland-unity-developer-jobs-SRCH_IL.0%2C6_IN193_KO7%2C22.htm,2026-05,38 open Unity Developer postings in Poland,medium,Volume indicator — confirms an active Unity market; most postings do not disclose bands
No Fluff Jobs - IT Job Market 2025/2026 report,salary_survey,https://nofluffjobs.com/,2026,"IT offer volume +44% YoY; gamedev sector pay growing ~10%/yr",low,"Market-level context only; no Unity-specific band published. Used to apply a recency uplift to 2025 data points"
