grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-2,local_sme,624000,840000,52000,70000,RUB,medium,"allcourses.io 2026;quick-offer.ru 2026;practicum.yandex.ru 2026","NET figures (на руки); converted from gross ~60-80K RUB at 13% NDFL; regional/small company range; dreamjob.ru floor 50K+ RUB net confirmed"
Junior,0-2,mid_market,840000,1044000,70000,87000,RUB,high,"allcourses.io 2026;skillbox.ru/HabrCareer 2025;getgrade.ru 2025","NET figures; gross 80-100K Moscow IT (allcourses); Habr Career median 98333 RUB gross = 85600 net; rounded to market range"
Middle,2-5,local_sme,1152000,1560000,96000,130000,RUB,medium,"allcourses.io 2026;quick-offer.ru 2026","NET figures; gross 110-150K regional; includes non-Moscow IT companies and regional tech hubs"
Middle,2-5,mid_market,1560000,1980000,130000,165000,RUB,high,"allcourses.io 2026;skillbox.ru/HabrCareer 2025;practicum.yandex.ru 2026","NET figures; Habr Career median 166666 RUB gross = 145000 net; allcourses Moscow 150-190K gross = 130-165K net; 3 independent sources agree"
Middle,2-5,premium,1980000,2580000,165000,215000,RUB,medium,"vc.ru 2026;levels.fyi 2026;allcourses.io 2026","NET figures; FinTech/big tech Moscow; gross 190-250K = net 165-218K; Yandex/Sber/VK context"
Senior,5+,local_sme,1152000,1560000,96000,130000,RUB,medium,"allcourses.io 2026;practicum.yandex.ru 2026","NET figures; gross 110-150K in regions (allcourses); lower boundary of senior market outside Moscow"
Senior,5+,mid_market,2196000,2928000,183000,244000,RUB,medium,"allcourses.io 2026;skillbox.ru/HabrCareer 2025;getgrade.ru 2025","NET figures; Habr Career median 263000 RUB gross = 229K net; allcourses Moscow 210-300K gross = 183-261K net; converted at 13% NDFL"
Senior,5+,premium,2928000,3840000,244000,320000,RUB,medium,"levels.fyi 2026;vc.ru 2026;allcourses.io 2026","NET figures; levels.fyi median 205K/mo total comp reflects this range; FinTech/Sber premium; allcourses IT/FinTech 240-300K+ gross"
Lead,7+,mid_market,2760000,3660000,230000,305000,RUB,medium,"allcourses.io 2026;skillbox.ru/HabrCareer 2025;practicum.yandex.ru 2026","NET figures; Habr Career median 332K gross = 289K net; allcourses Lead range 265-440K gross (center band 265-350K = 230-304K net)"
Lead,7+,premium,3660000,4800000,305000,400000,RUB,low,"vc.ru 2026;levels.fyi 2026","NET figures; vc.ru cites Lead at 700K as outlier; levels.fyi P75 325K/mo total comp; VK/Wildberries top employers; limited grade-specific data"
Head,10+,mid_market,3600000,4800000,300000,400000,RUB,low,"allcourses.io 2026;levels.fyi 2026","NET figures; estimated from top-of-Lead + Senior premium progression; levels.fyi Moscow median 249K/mo; limited Head PMO-specific data found"
Head,10+,premium,5040000,6720000,420000,560000,RUB,low,"levels.fyi 2026;vc.ru 2026","NET figures; levels.fyi P90 398K/mo total comp; VK top employer 338K/mo; premium FinTech/big-tech head; very limited data points"
