grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,28000,38000,2350,3150,EUR,medium,"Glassdoor Spain QA 2026;Indeed Spain 2026","Spanish local financial companies, smaller banks (Bankinter, Cajamar), regional savings banks. Glassdoor P25 Spain QA €34K anchors mid-point; local_sme junior below median"
Junior,0-3,mid_market,36000,50000,3000,4150,EUR,medium,"SalaryExpert Barcelona 2026;Glassdoor Spain 2026","Large Spanish banks (Santander, BBVA, CaixaBank, Sabadell) junior quant analyst roles; regulatory capital modelling trainee. Glassdoor Spain avg ~€46K-€50K at junior level for mid_market employers"
Junior,0-3,premium,46000,65000,3850,5400,EUR,medium,"BBVA AI Center 2026;LinkedIn Spain 2026","BBVA AI Factory (Madrid), Santander Risk Analytics, international bank Spain centers. BBVA and Santander premium quant teams pay significantly above market average. LinkedIn Spain 2026 quant postings €44K-€68K junior band"
Middle,3-5,local_sme,40000,56000,3350,4650,EUR,medium,"Glassdoor Spain 2026;Indeed Spain 2026","Mid-career Spanish financial analyst/quant at local institution. Glassdoor P75 Spain QA €64,250 anchors upper end of local_sme middle"
Middle,3-5,mid_market,54000,76000,4500,6350,EUR,medium,"SalaryExpert Barcelona 2026;Glassdoor Spain 2026","Large bank model risk and quantitative analytics middle; CaixaBank, BBVA standard teams. Barcelona SalaryExpert avg €68,652 anchors mid-point. Santander avg €46K somewhat low — mid_market average is between these"
Middle,3-5,premium,70000,100000,5850,8350,EUR,medium,"BBVA AI Factory 2026;Santander CRO team;LinkedIn Spain 2026","BBVA AI, Santander Group risk center Madrid, Renta 4 algorithmic trading. LinkedIn Spain quant/risk analyst postings €62K-€105K for mid-senior range at premium employers"
Senior,5+,local_sme,54000,76000,4500,6350,EUR,medium,"SalaryExpert Barcelona 2026;Glassdoor Spain 2026","SalaryExpert Barcelona senior QA €84,913; local_sme senior below Barcelona premium level. Traditional Spanish bank risk quant with 5+ years"
Senior,5+,mid_market,76000,108000,6350,9000,EUR,medium,"SalaryExpert Barcelona 2026;Glassdoor Spain 2026;LinkedIn Spain 2026","SalaryExpert Barcelona senior €84,913 supports mid-range; large bank model validation senior. LinkedIn Spain senior quant/risk postings €72K-€115K validate range"
Senior,5+,premium,100000,145000,8350,12100,EUR,medium,"BBVA AI Factory 2026;LinkedIn Spain 2026;Santander top band","BBVA AI and Santander senior quant researchers; PhDs in quantitative disciplines. LinkedIn Spain senior quant finance postings at international banks and top Spanish institutions €92K-€150K"
Lead,7+,mid_market,108000,148000,9000,12350,EUR,low,"LinkedIn Spain 2026;market extrapolation","Lead Quant at large Spanish bank; limited direct data. Extrapolated from senior mid_market + leadership premium ~30-35%"
Lead,7+,premium,145000,200000,12100,16650,EUR,low,"LinkedIn Spain 2026;BBVA AI Director level","BBVA AI Factory team lead / Director of Quantitative Research; Santander Group model risk lead. Very limited direct data"
Head,10+,premium,185000,260000,15400,21650,EUR,low,"LinkedIn Spain 2026;market extrapolation","Head of Quantitative Analytics at BBVA, Santander Group, or international bank Spain hub. Extremely limited data; executive range based on premium lead + executive step-up"
