grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,20000,26000,1667,2167,EUR,medium,"Glassdoor Spain 2025;Masterd.es 2025;PayScale Spain 2026","Small indie studios, startups; Glassdoor P25 €19k; masterd local startups €20k"
Junior,0-3,mid_market,25000,33000,2083,2750,EUR,medium,"Indeed Spain 2025;Glassdoor Spain 2025;ERI SalaryExpert Spain 2026","Mid-size studios, nearshore; Indeed Barcelona €30k; Glassdoor avg Unity Dev €30k"
Junior,0-3,premium,32000,40000,2667,3333,EUR,medium,"ERI SalaryExpert Spain 2026;Levels.fyi King/Scopely Barcelona 2026","King/Scopely/Rovio entry; ERI entry-level €35,319; scaled from premium SWE data"
Middle,3-5,local_sme,27000,36000,2250,3000,EUR,medium,"Glassdoor Spain 2025;Tecnoempleo Spain Jul 2026;Jooble Spain 2026","Glassdoor mid Unity avg €32,284; Tecnoempleo general programmer €34,400-€42,100"
Middle,3-5,mid_market,35000,46000,2917,3833,EUR,medium,"Jooble Spain 2026;ERI SalaryExpert Spain 2026;Manfred Spain 2026","Jooble avg all Unity €40k; Manfred general mid 2-5yr €31-40k; Neoretos mid €40-60k"
Middle,3-5,premium,45000,60000,3750,5000,EUR,medium,"Levels.fyi Scopely Barcelona 2026;Levels.fyi King Barcelona 2026;ERI SalaryExpert Spain 2026","King SWE median €65k; Scopely SWE L4 €72k TC; scaled for Unity role -15%"
Senior,5+,local_sme,35000,46000,2917,3833,EUR,high,"Glassdoor Spain 2025-2026;PayScale Spain 2023;Masterd.es 2025","Glassdoor P25 senior Unity Spain €37,500; PayScale Sr SWE Unity €38-49k; masterd senior lower band"
Senior,5+,mid_market,46000,58000,3833,4833,EUR,high,"Glassdoor Spain May 2026;ERI SalaryExpert Spain 2026;Paylab Spain 2026","Glassdoor avg senior Unity Spain €45,500; ERI senior Unity €57,002; Paylab 5yr exp €60,156/yr"
Senior,5+,premium,58000,75000,4833,6250,EUR,high,"Glassdoor Senior Unity Barcelona 2026;Levels.fyi King/Scopely Barcelona 2026;ERI Game Dev Spain 2026","Glassdoor P75 senior Unity Spain €64k; Scopely median SWE €61.7k; ERI game dev senior €63,153"
Lead,7+,mid_market,55000,70000,4583,5833,EUR,medium,"Glassdoor Lead Game Designer Barcelona 2026;Neoretos Spain 2026;SpainJobs.io Spain 2026","Glassdoor lead game designer BCN P25-P75: €54,750-€75,750; SpainJobs lead/staff €65-90k"
Lead,7+,premium,70000,90000,5833,7500,EUR,medium,"Neoretos Spain 2026;SpainJobs.io Spain 2026;Levels.fyi King/Scopely Barcelona 2026","Neoretos lead €70-95k; highest Scopely SWE Barcelona €94,959; game dev leads at premium studios"
Head,10+,mid_market,65000,82000,5417,6833,EUR,low,"SpainJobs.io Spain 2026;Neoretos Spain 2026","Extrapolated from lead + ~15-20% premium; SpainJobs staff/lead €65-90k. Limited direct data."
Head,10+,premium,82000,108000,6833,9000,EUR,low,"Manfred Tech Spain 2026;Levels.fyi King Barcelona 2026;Neoretos Spain 2026","King highest SWE €95,342; Manfred staff/principal €82-126k; game heads at top studios; limited Unity-specific data"
