source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
Jobs Nicosia - Cyprus salary guide 2026,salary_survey,https://jobsnicosia.com/cyprus-salary-guide-2026/,2026,"Junior software developer €1,800-2,500/mo; mid (3-5 yrs) €2,800-4,200/mo; senior €4,000-6,500/mo; staff/principal €85-130K/yr; VP/Director €120-180K/yr",high,The most complete grade ladder found for Cyprus. General software rather than Unity-specific. Anchors the mid_market bands across every grade
Jobs Nicosia - Cyprus tech salaries 2026 (IP Box effect),salary_survey,https://jobsnicosia.com/cyprus-tech-salaries-2026/,2026,"Tech-sector pay analysis including the IP Box regime's effect on engineering compensation; 50% income tax exemption for up to 17 years on first Cyprus employment paying above €55,000/yr",high,"Explains why Cyprus tech pay outruns the general Cypriot market. Note the tax angle: all figures in this dataset are gross and unadjusted, but a gross above €55K translates into far higher net in Cyprus than the same gross elsewhere in the EU"
danilchenko.dev - Cyprus Software Engineer Salary 2026,open_cv,https://www.danilchenko.dev/posts/cyprus-developer-salary-2026/,2026,"Senior SWE Nicosia/Limassol €5,200-7,800/mo gross; premium Limassol mid 25th-75th pct €54.6-84.9K; senior 90th pct €98.6K; Limassol carries a 15-30% premium over the national average",high,"First-hand practitioner write-up with percentile detail, which is rare for Cyprus. Anchors the premium segment"
Evresio - Cyprus Salary Guide 2026,salary_survey,https://evresio.com/blog/average-salaries-in-cyprus-by-industry-2026-guide,2026,"Junior €21.6-30K/yr; mid €33.6-50.4K; senior €48-78K; iGaming mid €36-54K; Principal/Staff €78-108K; CTO €6,000-12,000+/mo",high,Cyprus-focused salary guide with an explicit iGaming split. Used as an independent confirming source for the mid_market bands and the iGaming domain row
Emerald Zebra - Cyprus Salary Survey & Workforce Insights Q4 2025/2026,salary_survey,https://emeraldzebra.cy/wp-content/uploads/2025/10/Emerald-Zebra-Cyprus-Salary-Survey-Insights-Q4-2025-2026.pdf,2025-10,Backend mid up to €56.5K; senior backend midpoint; Software Engineering Manager €37.5-72.5K,high,"Survey of 700+ employees plus an employer survey and a 20,000-professional talent pool, covering FinTech/Tech/iGaming. Data is Q4 2025 with a 2026 outlook — the most methodologically solid Cyprus source"
Levels.fyi - Software Engineer Cyprus / Nicosia,aggregator,https://www.levels.fyi/t/software-engineer/locations/cyprus,2026,All-companies median €60.7K; senior Nicosia median €66K (P25 €54.6K; P75 €72K; P90 €81.6K),high,Total-compensation data with clean percentiles. Best source for the Senior premium ceiling
Levels.fyi - Wargaming Cyprus,aggregator,https://www.levels.fyi/companies/wargaming/salaries,2026,Wargaming Cyprus median €63.3K; full range €42.5-99.8K,medium,"Company-specific. Wargaming's Nicosia HQ is the anchor employer for the GameDev/AA-AAA domain row, though much of its work uses proprietary engines rather than Unity"
SaviorHire - Software Engineer salaries & hiring costs in Cyprus 2026,recruiter_report,https://www.saviorhire.com/post/software-developer-salaries-in-cyprus,2026,C# junior €18-26K; mid €30-45.6K; senior €48-66K; lead €66K+,high,"C# bands used as a direct proxy for Unity developers, since Unity work in Cyprus is C#. Anchors the local_sme segment"
Radviser - Game Developer Salary in Cyprus,aggregator,https://radviser.com/salary/game-developer/cyprus,2026,Game developer Cyprus bands; senior game developer ~€45K,medium,Game-specific rather than general software. Sits below the Limassol product-company market — used for the local_sme bands
TalentUp - Game Developer Cyprus,aggregator,https://talentup.io/salary/Game%20Developer/Cyprus,2026,Median €44K across all segments blended,medium,Blends local and international employers into a single median; used as a cross-check rather than to set a band
Glassdoor - Unity Developer Cyprus,aggregator,https://www.glassdoor.com/Salaries/cyprus-developer-salary-SRCH_IL.0%2C6_IN62_KO7%2C16.htm,2026,Unity Developer Cyprus average ~€45K (n=6); Junior Developer Nicosia band,low,n=6 — too small to set a band on its own. Used only to confirm the order of magnitude of the local market
Glassdoor - Software Developer Nicosia,aggregator,https://www.glassdoor.com/Salaries/nicosia-software-developer-salary-SRCH_IL.0%2C7_IM1341_KO8%2C26.htm,2026,General software developer pay range for Nicosia,medium,Used to sanity-check the Nicosia vs Limassol split
