grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,7200,11000,600,900,EUR,low,"Paylab.com/ge","Paylab.com <20 respondents; lower band GEL 1,304/month = €456/month represents local Georgian company floor; local SME segment strongly dominated by Georgian market rates; 1 GEL = 0.35 EUR"
Junior,0-3,mid_market,14000,20000,1150,1650,EUR,medium,"SalaryExpert Tbilisi;Glassdoor Georgia (corrected)","SalaryExpert entry level 75,595 GEL/year = €26,458/year (modeling-based); Glassdoor corrected P25: GEL 2,800/month = €980/month; mid-market represents international-adjacent companies"
Junior,0-3,premium,22000,30000,1850,2500,EUR,low,"SalaryExpert Tbilisi;extrapolation","Premium = relocated Russian/Eastern EU IT companies post-2022 paying international rates; SalaryExpert entry adjusted downward for junior grade; limited direct data"
Middle,3-5,local_sme,10000,15000,850,1250,EUR,low,"Paylab.com/ge","Paylab 5+yr: GEL 3,072/month = €1,075/month extrapolated back to 3-5yr; very small sample"
Middle,3-5,mid_market,20000,28000,1650,2350,EUR,medium,"SalaryExpert Tbilisi;GlobalCostData Tbilisi;Glassdoor Georgia (corrected)","GlobalCostData median $2,306/month ≈ €2,100/month = €25,200/year (all PM types); Glassdoor corrected median GEL 4,792/month = €1,677/month = €20,124/year; SalaryExpert average €37,341/year as ceiling"
Middle,3-5,premium,30000,40000,2500,3350,EUR,medium,"SalaryExpert Tbilisi","SalaryExpert average 106,688 GEL/year = €37,341/year represents mid-premium; ERI modeling — may over-represent international employers; 1 GEL = 0.35 EUR"
Senior,5+,local_sme,14000,20000,1150,1650,EUR,low,"Paylab.com/ge;Glassdoor Georgia (corrected)","Glassdoor corrected IT PM P75: GEL 5,305/month = €1,857/month = €22,284/year as ceiling; local_sme ceiling below Glassdoor corrected median"
Senior,5+,mid_market,25000,36000,2100,3000,EUR,medium,"SalaryExpert Tbilisi;GlobalCostData;Glassdoor Georgia (corrected)","SalaryExpert senior 124,153 GEL/year = €43,454/year — upper ceiling; GlobalCostData comfortable threshold $2,998/month ≈ €2,727/month = €32,724/year aligns"
Senior,5+,premium,38000,50000,3150,4150,EUR,medium,"SalaryExpert Tbilisi;Glassdoor Georgia (corrected)","SalaryExpert senior GEL 124,153/year = €43,454/year; premium extrapolated above with iGaming/FinTech uplift; Glassdoor P90 corrected GEL 14,583/month = €5,104/month = €61,248/year (likely Lead/Head level)"
Lead,7+,mid_market,35000,48000,2900,4000,EUR,low,"SalaryExpert Tbilisi;extrapolation","Extrapolated from Senior mid_market + progression; no Lead-specific Georgia IT PM data found"
Lead,7+,premium,48000,65000,4000,5400,EUR,low,"Glassdoor Georgia (corrected);extrapolation","Glassdoor corrected P90 (GEL 14,583/month = €61,248/year) likely represents Lead/Head level; premium Lead extrapolated from this anchor"
Head,10+,premium,60000,85000,5000,7100,EUR,low,"Glassdoor Georgia (corrected)","Glassdoor P90 corrected €61,248/year used as floor; Head extrapolated upward; single anchor point — treat as indicative only; 2026 data"
