grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,17000,22500,1400,1900,EUR,medium,"WorkPlays Unity PL 2026;WSPA GameDev PL 2026;ERI Unity Developer PL 2026","1 EUR ≈ 4.25 PLN. WorkPlays junior band 6-9K PLN/mo; lower half = small studios/indie. UoP gross"
Junior,0-3,mid_market,22500,29500,1900,2450,EUR,high,"WorkPlays Unity PL 2026;WSPA GameDev PL 2026;Glassdoor Unity Warsaw 2026","8-10.5K PLN/mo gross. WSPA junior median 5.7K net UoP ≈ 8K gross; 3 sources converge"
Junior,0-3,premium,31000,39500,2600,3300,EUR,medium,"WorkPlays PL;LinkedIn Jobs PL 2026;Glassdoor Unity Warsaw","11-14K PLN/mo B2B. Mobile F2P leaders (Huuuge, Ten Square, Playtika PL) and Warsaw/Wroclaw product cos"
Middle,3-5,local_sme,25500,34000,2100,2850,EUR,medium,"WorkPlays Unity PL 2026;WSPA GameDev PL 2026","9-12K PLN/mo. Small/indie studios, UoP contract"
Middle,3-5,mid_market,34000,45000,2850,3750,EUR,high,"WorkPlays Unity PL 2026;WSPA GameDev PL 2026;ERI Unity Developer PL 2026","12-16K PLN/mo. WSPA mid 8.5K net UoP ≈ 12K gross; WSPA B2B mid 16K; ERI PL avg 183.7K PLN/yr"
Middle,3-5,premium,48000,62000,4000,5150,EUR,medium,"WorkPlays PL;Glassdoor Unity Warsaw 2026;LinkedIn Jobs PL","17-22K PLN/mo B2B at mobile F2P and international studios"
Senior,5+,local_sme,39500,51000,3300,4250,EUR,medium,"WorkPlays Unity PL 2026;WSPA GameDev PL 2026","14-18K PLN/mo. WorkPlays senior band starts 14K; WSPA senior 12K net UoP ≈ 17.2K gross"
Senior,5+,mid_market,51000,68000,4250,5650,EUR,high,"WorkPlays Unity PL 2026;Glassdoor Senior Unity PL 2026 (n=5);ERI PL 2026","18-24K PLN/mo. Glassdoor Senior Unity PL P25 14.75K / median 17.8K / P75 24.4K PLN/mo"
Senior,5+,premium,70500,90500,5900,7550,EUR,medium,"Glassdoor Senior Unity PL P90 2026;LinkedIn Jobs PL;WorkPlays","25-32K PLN/mo B2B. Glassdoor P90 30.4K PLN/mo supports ceiling; Playtika/Huuuge/Ten Square band"
Lead,7+,local_sme,54000,68000,4500,5650,EUR,medium,"WSPA GameDev PL 2026;WorkPlays PL","19-24K PLN/mo. WSPA tech lead 13.5K net UoP ≈ 19.5K gross; smaller studios"
Lead,7+,mid_market,70000,90000,5850,7500,EUR,medium,"WSPA GameDev PL 2026 (B2B 26K);LinkedIn Jobs PL 2026","25-32K PLN/mo. WSPA lead B2B 26K PLN/mo; extrapolated senior +25%"
Lead,7+,premium,88000,112000,7350,9350,EUR,low,"LinkedIn Jobs PL 2026;Glassdoor;estimation from senior premium","31-40K PLN/mo B2B. Top mobile F2P tech leads; limited direct postings"
Head,10+,mid_market,95000,120000,7900,10000,EUR,low,"LinkedIn Jobs PL 2026;extrapolation","Technical Director / Head of Engineering at mid-size studios; very few public bands"
Head,10+,premium,115000,145000,9600,12100,EUR,low,"LinkedIn Jobs PL 2026;extrapolation","40-51K PLN/mo. CTO/Technical Director at Huuuge/Ten Square/Playtika scale; n<3, estimate"
