grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,20000,27000,1650,2250,EUR,medium,"Saviorhire.com C# 2026;Radviser Game Dev CY;Glassdoor Unity CY (n=6)","Local/Nicosia SMEs; saviorhire C# junior €18-26K used as direct proxy for Unity C# devs"
Junior,0-3,mid_market,24000,32000,2000,2650,EUR,medium,"Evresio avg salaries CY 2026;JobsNicosia salary guide 2026;Glassdoor Junior Dev Nicosia","General tech product companies; JobsNicosia junior dev €22-32K; Evresio junior €21.6-30K"
Junior,0-3,premium,33000,44000,2750,3650,EUR,medium,"Evresio iGaming CY 2026;Wargaming levels.fyi CY;danilchenko.dev CY 2026","AA studios and iGaming operators in Limassol; Wargaming entry-level proxy + iGaming premium"
Middle,3-5,local_sme,29000,38000,2400,3150,EUR,medium,"Saviorhire.com C# 2026;Radviser Game Dev CY;TalentUp Game Dev CY 2026","TalentUp median €44K (all segments blended); saviorhire C# mid €30-45.6K; Glassdoor avg ~€45K"
Middle,3-5,mid_market,40000,52000,3350,4350,EUR,high,"Evresio avg salaries CY 2026;JobsNicosia salary guide 2026;Emerald Zebra CY 2025","3+ sources agree; JobsNicosia mid €35-55K; Evresio mid €33.6-50.4K; Emerald Zebra backend mid up to €56.5K"
Middle,3-5,premium,52000,70000,4350,5850,EUR,high,"Levels.fyi Nicosia SWE;Wargaming levels.fyi CY;danilchenko.dev CY 2026;Evresio iGaming 2026","danilchenko.dev: premium Limassol mid 25th-75th €54.6-84.9K; Wargaming median €63.3K; Evresio iGaming mid €36-54K (budget companies) — range reflects full premium band"
Senior,5+,local_sme,44000,57000,3650,4750,EUR,medium,"Saviorhire.com C# 2026;Radviser Game Dev CY;Emerald Zebra CY 2025","saviorhire C# senior €48-66K; Radviser game dev senior €45K; Emerald Zebra backend senior midpoint"
Senior,5+,mid_market,55000,72000,4600,6000,EUR,high,"Evresio avg salaries CY 2026;JobsNicosia salary guide 2026;Levels.fyi Nicosia SWE 2026","JobsNicosia senior €55-85K; Evresio senior €48-78K; levels.fyi all-cos median €60.7K; range narrows to core mid-market band"
Senior,5+,premium,68000,90000,5650,7500,EUR,high,"Levels.fyi senior Nicosia CY 2026;Wargaming levels.fyi CY;JobsNicosia tech salaries 2026","levels.fyi senior Nicosia median €66K (25th €54.6K; 75th €72K; 90th €81.6K); Wargaming range €42.5-99.8K; JobsNicosia senior backend €6,800/mo = €81.6K — premium top end"
Lead,7+,local_sme,57000,74000,4750,6150,EUR,low,"Saviorhire.com C# lead €66K+;Emerald Zebra SE Manager €37.5-72.5K","Limited direct data; extrapolated from senior + 20-30% leadership premium in local SME segment"
Lead,7+,mid_market,72000,95000,6000,7900,EUR,medium,"JobsNicosia salary guide 2026 (Staff €85-130K lower band);Evresio CTO lower band;danilchenko.dev","JobsNicosia staff/principal €85-130K; lead is below staff; danilchenko.dev senior 90th pct €98.6K"
Lead,7+,premium,88000,115000,7350,9600,EUR,medium,"Levels.fyi Nicosia SWE 90th pct;JobsNicosia staff/principal €85-130K;Evresio Principal €78-108K","Evresio iGaming Principal/Staff €78-108K/yr; levels.fyi 90th pct €81.6K; premium lead command 10-20% above senior top"
Head,10+,local_sme,72000,93000,6000,7750,EUR,low,"JobsNicosia salary guide 2026;Evresio CTO/Head data","Limited data; extrapolated; local SME Head rarely reaches €100K"
Head,10+,mid_market,92000,120000,7650,10000,EUR,low,"JobsNicosia staff/principal €85-130K;Evresio CTO range;saviorhire lead €66K+","Sparse specific data; JobsNicosia staff €85-130K — Head/HoE is at upper half of this band for mid-market"
Head,10+,premium,110000,140000,9150,11650,EUR,low,"Evresio CTO €72-144K+;Levels.fyi top companies CY;JobsNicosia VP/Dir €120-180K","Evresio CTO €6,000-€12,000+/mo; Head of Studio/Engineering in AA studios and iGaming at lower half of that range; 2 data points"
