grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,22000,32000,1850,2650,EUR,medium,"SalaryExpert Lisbon 2026;Glassdoor Portugal 2026","Portuguese local banks and SME finance companies. SalaryExpert Lisbon lower range €38K is full market entry; local_sme junior below that due to smaller employer pay differential"
Junior,0-3,mid_market,32000,46000,2650,3850,EUR,medium,"SalaryExpert Lisbon 2026;Glassdoor Portugal 2026","Large Portuguese banks (BCP/Millennium, Caixa Geral de Depósitos, Novo Banco, Santander Portugal) and major FinTech. SalaryExpert Lisbon entry €38,240 anchors lower bound; mid_market commands small premium"
Junior,0-3,premium,42000,60000,3500,5000,EUR,low,"LinkedIn Portugal 2026;market extrapolation","International employer (BNP Paribas Lisbon, HSBC center, NN Portugal) or top FinTech. Limited direct data; estimated from mid_market + international employer premium 25-30%"
Middle,3-5,local_sme,32000,46000,2650,3850,EUR,medium,"SalaryExpert Lisbon 2026;Glassdoor Portugal 2026","SalaryExpert Lisbon avg €54,942 is broadly the market average; local_sme middle positioned below average at traditional Portuguese bank level"
Middle,3-5,mid_market,46000,66000,3850,5500,EUR,medium,"SalaryExpert Lisbon 2026;Glassdoor Portugal 2026","SalaryExpert Lisbon avg €54,942 anchors mid-range; large bank model risk analyst middle grade. Glassdoor Portugal QA range €38K-€67K; middle maps to upper half"
Middle,3-5,premium,62000,88000,5150,7350,EUR,low,"LinkedIn Portugal 2026;BNP Paribas Lisbon context","International bank quant teams in Lisbon (BNP Paribas CIB Lisbon operations); Siemens Financial Services Portugal; consulting firm quant risk practices. Limited direct data; international employer premium applied"
Senior,5+,local_sme,46000,64000,3850,5350,EUR,medium,"SalaryExpert Lisbon 2026;Glassdoor Portugal 2026","SalaryExpert Lisbon senior end €66,919; local_sme senior positioned around aggregator maximum. Portuguese bank senior quant/risk analyst"
Senior,5+,mid_market,64000,90000,5350,7500,EUR,medium,"SalaryExpert Lisbon 2026;Glassdoor Portugal 2026;LinkedIn Portugal 2026","SalaryExpert max €66,919; mid_market senior slightly above aggregator maximum reflecting premium over SME. LinkedIn Portugal senior quant postings €62K-€95K validate range"
Senior,5+,premium,88000,125000,7350,10400,EUR,low,"LinkedIn Portugal 2026;market extrapolation","Senior at international bank Lisbon operations or major consulting firm risk practice. Very limited direct data for Portugal premium senior"
Lead,7+,mid_market,88000,120000,7350,10000,EUR,low,"LinkedIn Portugal 2026;market extrapolation","Lead Quant at large Portuguese bank or regional head at mid-tier firm. Extrapolated from senior mid_market upper + leadership premium ~30%. Very limited direct data"
Lead,7+,premium,120000,165000,10000,13750,EUR,low,"LinkedIn Portugal 2026;market extrapolation","Lead at international employer; estimated from senior premium upper + step-up. Extremely limited data"
Head,10+,premium,155000,215000,12900,17900,EUR,low,"market extrapolation","Head of Quant/Model Risk at international bank Lisbon center. Illustrative range; essentially no direct data available for this level in Portugal"
