grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,16000,21000,1350,1750,EUR,low,Infostud 2026;Glassdoor 2026,"Adjacent role data only (financial analyst / risk analyst in traditional banking / local finance); no confirmed junior QA posting at local SMEs in Serbia; floor based on infostud financial analyst median (151K RSD/month gross); quant-trained MSc would command modest premium over plain FA"
Junior,0-3,mid_market,22000,29000,1850,2400,EUR,low,TalentUp 2025;EPAM Levels.fyi 2026;Levels.fyi 2026,"Very few junior QA postings found in Serbia; anchor: EPAM BA L2 $38.4K (€35K) scaled down for entry level + quant profile premium; TalentUp overall QA median €46K used for market context; TalentUp data from Nov 2025 (prior year — no 2026 breakdown available)"
Junior,0-3,premium,30000,40000,2500,3350,EUR,low,TalentUp 2025;Levels.fyi 2026,"International employers with Belgrade office (TeleTrader-type); no salary disclosed in only confirmed QA posting (TeleTrader Feb 2026); based on levels.fyi data analyst 25th-50th percentile ($27.6K-$48K) + quant-specialist premium ~15%; prior-year anchor"
Middle,3-5,local_sme,22000,29000,1850,2400,EUR,low,Infostud 2026;InfoPlate 2026,"Based on upper range of infostud financial analyst gross (max ~220K RSD/month ≈ €22.5K/year) representing experienced analyst in traditional Serbian finance; quant profile would push toward upper end"
Middle,3-5,mid_market,36000,48000,3000,4000,EUR,medium,TalentUp 2025;Levels.fyi 2026;EPAM Levels.fyi 2026,"TalentUp QA Belgrade median €46K (38 obs Nov 2025 — prior year) used as mid-band anchor; EPAM L3-L4 BA ($41K-$60K) supports range lower-upper bound; mid-market range set to straddle the TalentUp median"
Middle,3-5,premium,50000,64000,4150,5350,EUR,low,Levels.fyi 2026;arc.dev 2026,"Based on levels.fyi 75th percentile data analyst Belgrade ($60K ≈ €55K) plus quant-specialist premium ~10-15%; arc.dev DS Serbia avg $60.9K used as cross-check; limited direct QA data at premium employers"
Senior,5+,mid_market,50000,64000,4150,5350,EUR,low,InfoPlate 2026;TalentUp 2025;EPAM Levels.fyi 2026,"InfoPlate data scientist at 5yr experience: 369K RSD/month net ≈ €53K gross/year; EPAM L4 BA $59.5K (€55K) provides upper bound; quant analyst senior in outsourcing/mid-market anchored here; very thin Serbia market for senior quants"
Senior,5+,premium,68000,86000,5650,7150,EUR,low,Levels.fyi 2026;arc.dev 2026,"Based on levels.fyi 90th percentile data analyst Belgrade ($82.9K ≈ €76K) as premium ceiling context; arc.dev DS $60.9K as mid-band reference; quant premium ~15% over DS senior; very few senior QA roles visible in Serbia"
Lead,7+,mid_market,60000,76000,5000,6350,EUR,low,EPAM Levels.fyi 2026;Employsome 2026,"Extrapolated from EPAM L4 BA €54.7K + leadership step-up ~10% + quant specialist premium; Employsome reports senior IT specialists >700K RSD/month (€71.8K/year) as high-end benchmark; essentially no direct lead QA data in Serbia"
Lead,7+,premium,84000,106000,7000,8850,EUR,low,Levels.fyi 2026;Employsome 2026,"Highly extrapolated; estimated fewer than 5 QA lead roles exist in all of Serbia; based on premium senior upper bound + leadership premium ~20%; Employsome senior specialist ceiling used as directional reference"
Head,10+,premium,100000,130000,8350,10850,EUR,low,Employsome 2026;market extrapolation,"No direct data found for Head of Quant / Head of Model Validation in Serbia; role practically non-existent as standalone function; extrapolated from premium lead + significant seniority premium; treat as illustrative floor for any such role that might be created"
