source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
Glassdoor Lisbon IT PM 2026,aggregator,https://www.glassdoor.com/Salaries/lisbon-portugal-it-project-manager-salary-SRCH_IL.0,15_IM1121_KO16,34.htm,May 2026,"Avg €44000; P25 €36000; P75 €55375; 52 submitted salaries",high,"IT-specific; Lisbon; 52 salaries; primary mid-market anchor for Portugal; May 2026"
Glassdoor Portugal PM 2026,aggregator,https://www.glassdoor.com/Salaries/portugal-project-manager-salary-SRCH_IL.0,8_IC3198794_KO9,24.htm,Jun 2026,"Avg €45000; P25 €33750; P75 €59625",high,"Portugal-wide all PM; June 2026; used to validate Lisbon-specific data"
Glassdoor Lisbon Senior PM 2026,aggregator,https://www.glassdoor.com/Salaries/lisbon-portugal-senior-project-manager-salary-SRCH_IL.0,15_IM1121_KO16,38.htm,2026,"Avg €50000; P25 €38000; P75 €67000",high,"Key senior PM anchor for Lisbon; aligns with SalaryExpert directionally"
Glassdoor Lisbon Junior PM 2026,aggregator,https://www.glassdoor.com/Salaries/lisbon-portugal-junior-project-manager-salary-SRCH_IL.0,15_IM1121_KO16,38.htm,Jun 2026,"P25 €16412; P75 €17761; only 1 salary submission",low,"Only 1 submission — not reliable; junior PM data extremely scarce for Portugal; treat as rough floor"
PayScale Portugal IT PM 2025,aggregator,https://www.payscale.com/research/PT/Job=Project_Manager%2C_Information_Technology_(IT)/Salary/8654a9d4/Lisbon,Apr 2025,"Avg €39615; P10 €24000; P50 €40000; P90 €72000; early career (1-4yr) avg €27600; based on 34 profiles",medium,"34 profiles; April 2025 data (slightly dated); IT-specific Lisbon; good for junior/mid anchoring despite age"
SalaryExpert Portugal IT PM 2026,aggregator,https://www.salaryexpert.com/salary/job/it-project-manager/portugal,2026,"Portugal national avg €54985; entry 1-3yr €38112; senior 8+yr €62024",medium,"Model-based (ERI); tends to run 10-20% above survey data; used as ceiling/directional for national estimates"
SalaryExpert Lisbon IT PM 2026,aggregator,https://www.salaryexpert.com/salary/job/it-project-manager/portugal/lisbon,2026,"Lisbon avg €63234; entry 1-3yr €43830; senior 8+yr €71330; bonus avg €4795",medium,"Model-based; Lisbon premium estimated at 15% vs national; senior figure €71.3k is key anchor for premium/lead ranges"
SalaryExpert Porto PM 2026,aggregator,https://www.salaryexpert.com/salary/job/project-manager/portugal/porto,2026,"Porto avg €57684; entry 1-3yr €41270; senior 8+yr €71008",medium,"Porto data useful for cross-validation; Porto shows similar senior PM level as Lisbon (€71k)"
Paylab Portugal IT PM 2026,aggregator,https://www.paylab.com/pt/salaryinfo/information-technology/it-project-manager,2025-2026,"80th-pctile band €1730-5554/mo (€20.8k-€66.6k annual); after 5yr avg €4305/mo (€51.7k annual); 20 respondents",medium,"20 survey respondents; small but survey-based; monthly gross; 5yr average €51.7k aligns well with Glassdoor mid-market"
Levels.fyi Portugal PM Jul 2026,aggregator,https://www.levels.fyi/t/project-manager/locations/portugal,Jul 2026,"Median total comp €39326; P25 €22000; P75 €58000; P90 €62600",medium,"Total comp (base+stock+bonus); updated Jul 12 2026; P75 €58k and P90 €62.6k suggest premium segment ceiling"
Levels.fyi Lisbon Senior PM 2025,aggregator,https://www.levels.fyi/t/project-manager/levels/senior/locations/lisbon-prt,Jul 2025,"Senior PM Lisbon range €27391-56932; avg total comp",low,"2025 data; used for directional senior-level calibration in Lisbon; total comp includes equity/bonus"
WorldSalaries Portugal PM 2026,aggregator,https://worldsalaries.com/average-project-manager-salary-in-portugal/,2026,"Porto PM avg €57684; national avg varies; entry ~€37-41k; senior ~€59-71k depending on source",medium,"References SalaryExpert methodology; Porto city data consistent with SalaryExpert; used for geographic cross-check"
