grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,18000,24000,1500,2000,EUR,medium,"Jooble PT Unity 2026;ERI Unity Developer PT 2026;Glassdoor PT listings","Small/indie studios outside Lisbon. Portugal pays 14 salaries/yr — figures are annual totals"
Junior,0-3,mid_market,24000,31000,2000,2600,EUR,high,"ERI Unity Developer PT 2026 (entry €27,763);ERI Unity Lisbon 2026 (entry €31,931);Damia/Landing.jobs PT 2026","3 sources converge around €28-32K entry; ERI PT entry €27.8K and Lisbon entry €31.9K bracket this band"
Junior,0-3,premium,32000,41000,2650,3400,EUR,medium,"ERI Unity Lisbon 2026;Glassdoor Unity Portugal jobs;Damia PT Tech Talent 2026","Miniclip Lisbon and international studios/remote-for-EU roles. General PT dev junior €28-35K per Landing.jobs/Damia"
Middle,3-5,local_sme,26000,34000,2150,2850,EUR,medium,"Jooble PT Unity (avg €30K);ERI PT 2026","Jooble PT Unity average €30K sits in this band — reflects the smaller-studio bulk of the market"
Middle,3-5,mid_market,34000,45000,2850,3750,EUR,high,"ERI Unity Developer PT 2026 (avg €39,822);Jooble PT;Damia/Landing.jobs PT 2026","ERI Portugal average €39.8K falls mid-band. General PT dev mid €42-52K; Unity sits ~15% below general software"
Middle,3-5,premium,46000,60000,3850,5000,EUR,medium,"ERI Unity Lisbon 2026 (avg €45,800);Damia PT 2026;Glassdoor Lisbon","Lisbon international employers. ERI Lisbon all-levels average €45.8K is the floor of this band"
Senior,5+,local_sme,36000,46000,3000,3850,EUR,medium,"ERI Unity Developer PT 2026 (senior €44,786);Jooble PT","ERI PT senior (8+ yrs) €44.8K lands at the top of the local/SME band"
Senior,5+,mid_market,46000,60000,3850,5000,EUR,high,"ERI Unity Lisbon 2026 (senior €51,509);ERI PT 2026;Damia/Landing.jobs PT 2026","ERI Lisbon senior €51.5K is mid-band. General PT dev senior €55-70K; Unity discount applied"
Senior,5+,premium,62000,80000,5150,6650,EUR,medium,"Damia PT Tech Talent 2026;nextleveljobs.eu PT 2026;Glassdoor Unity PT jobs","Miniclip / Kaizen Gaming (Betano) / international remote. Lisbon-Porto international cluster reaches €90K+ for general SWE; Unity ceiling lower"
Lead,7+,local_sme,48000,62000,4000,5150,EUR,low,"extrapolation from senior;Glassdoor PT listings","Tech lead at Portuguese-owned studios. Few published bands"
Lead,7+,mid_market,62000,80000,5150,6650,EUR,medium,"Damia PT Tech Talent 2026;extrapolation from senior +25%","Team/tech lead at Lisbon-Porto studios"
Lead,7+,premium,82000,105000,6850,8750,EUR,low,"nextleveljobs.eu PT 2026;Damia PT 2026","Lead/principal at Miniclip-scale employers and international remote contracts"
Head,10+,mid_market,85000,110000,7100,9150,EUR,low,"nextleveljobs.eu PT 2026;extrapolation","Technical Director / Head of Engineering; n<3, estimate"
Head,10+,premium,105000,135000,8750,11250,EUR,low,"nextleveljobs.eu PT 2026 (€100K+ employers);extrapolation","CTO/Technical Director at the largest PT studios and international offices; very limited data"
