grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,24000,34000,2000,2850,EUR,medium,"fxcareer.eu 2026;Evresio Cyprus 2026;Payscale Cyprus","Smaller CySEC brokers and local FinTech. Base only; bonuses typically absent at this level"
Middle,3-5,local_sme,36000,50000,3000,4150,EUR,medium,"fxcareer.eu 2026;Evresio Cyprus 2026;Payscale mid-career","Payscale mid-career Financial Analyst Cyprus €35,802/yr anchors lower bound; quant premium applied"
Senior,5+,local_sme,52000,68000,4350,5650,EUR,medium,"fxcareer.eu 2026;Finance Magnates/Emerald Zebra survey","fxcareer senior/specialist band €5k-€9k/mo; local_sme captures lower half. Base only"
Lead,7+,local_sme,65000,85000,5400,7100,EUR,low,"fxcareer.eu 2026;Finance Magnates survey","Extrapolated from senior band; very limited direct data for lead quants at smaller CySEC firms"
Head,10+,local_sme,80000,105000,6650,8750,EUR,low,"Finance Magnates/Emerald Zebra survey;fxcareer.eu 2026","Estimated from executive lower brackets in Finance Magnates survey; limited quant-specific data"
Junior,0-3,mid_market,32000,46000,2650,3850,EUR,medium,"fxcareer.eu 2026;Evresio Cyprus 2026;Emerald Zebra iGaming guide","Mid-tier CySEC brokers (IronFX, Admirals, Tickmill). Relocation packages common; salary excludes benefits"
Middle,3-5,mid_market,48000,68000,4000,5650,EUR,medium,"fxcareer.eu 2026;Finance Magnates survey;Emerald Zebra","Data Scientist €3,500-€6,000/mo (Evresio iGaming) anchors upper; Risk Manager €2,500-€4,500/mo lower"
Senior,5+,mid_market,68000,90000,5650,7500,EUR,medium,"Finance Magnates survey;fxcareer.eu 2026;Evresio 2026","Finance Magnates: Quantitative Risk Manager up to €95K; mid-tier quant senior maps to this. Base only; bonuses 20-30% at this level common"
Lead,7+,mid_market,88000,115000,7350,9600,EUR,low,"Finance Magnates survey;fxcareer.eu 2026","Derived from senior band and Finance Magnates executive lower bracket (CFO entry €60K+); limited data"
Head,10+,mid_market,110000,148000,9150,12350,EUR,low,"Finance Magnates survey;fxcareer.eu 2026","Finance Magnates CFO range €90K-€240K; Head of Quant/Risk Analytics estimated at lower portion. Annual bonus 15-25% additional typical"
Junior,0-3,premium,42000,60000,3500,5000,EUR,medium,"fxcareer.eu 2026;Evresio Cyprus 2026;Exness job posting 2026","XM Trading Point, eToro, FxPro, large iGaming. Exness offers company car + 50% tax exemption; total package value higher"
Middle,3-5,premium,62000,88000,5150,7350,EUR,medium,"fxcareer.eu 2026;Finance Magnates survey;Evresio iGaming 2026","Aligned with London junior quant levels as context; ML Engineer iGaming €4k-€7k/mo anchors this band"
Senior,5+,premium,88000,125000,7350,10400,EUR,medium,"Finance Magnates survey;fxcareer.eu 2026;IC Markets/Exness postings","Finance Magnates Quantitative Risk Manager up to €95K is below mid-range here; premium firms pay above survey average. Bonuses 30-50% additional at this level"
Lead,7+,premium,118000,162000,9850,13500,EUR,low,"Finance Magnates survey;fxcareer.eu executive band","fxcareer executive range €7k-€15k/mo; Quant Research Lead (IC Markets hybrid posting, June 2026) aligns. Limited salary disclosure"
Head,10+,premium,155000,220000,12900,18350,EUR,low,"Finance Magnates survey;fxcareer.eu 2026","Finance Magnates CCO senior average €135K; Head of Quant/Risk Analytics at XM/eToro tier estimated 15-30% above. Annual bonus 40-60% additional likely"
