source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
Adorio.rs - HR Business Partner salary page,salary_survey,https://www.adorio.rs/plata/hr-business-partner,2026,yes,medium,"Net RSD monthly by experience band (0-1y,1-2y,2-4y,4-6y) + 10th/25th/75th/90th pctl. Serbia-wide, not IT-specific. Core general-market anchor."
InfoPlate.rs - HR Business Partner salary page,salary_survey,https://www.infoplate.rs/plata/ljudski-resursi/hr-business-partner,2026,yes,medium,"80% range 116,204-261,816 RSD net/mo; 5yr+ figure 214,168 RSD net/mo; n=49 respondents. Serbia-wide, not IT-specific."
InfoPlate.rs - Human Resources salary overview,salary_survey,https://www.infoplate.rs/en/salaryinfo/human-resources,2026,yes,low,"General HR category avg gross RSD143,420/mo, range RSD81,558-216,868. Serbia-wide, not IT-specific."
Glassdoor - HR Business Partner in Belgrade Serbia,aggregator,"https://www.glassdoor.com/Salaries/belgrade-serbia-hr-business-partner-salary-SRCH_IL.0,15_IM1655_KO16,35.htm",2026,yes,low,"EUR31,746-34,168/yr based on n=1 submission. Only Belgrade-specific IT-adjacent figure found for this exact title."
Glassdoor - Human Resources Business Partner in Belgrade Central Serbia,aggregator,"https://www.glassdoor.com/Salaries/belgrade-central-serbia-human-resources-business-partner-salary-SRCH_IL.0,23_IC4736141_KO24,56.htm",2026,yes,low,"RSD85,002-130,002 range; period (monthly vs annual) ambiguous across renderings - treated as unreliable."
Glassdoor - HR Manager in Serbia,aggregator,"https://www.glassdoor.com/Salaries/serbia-hr-manager-salary-SRCH_IL.0,6_IN200_KO7,17.htm",2025-2026,yes,low,"Inconsistent renderings seen (RSD153k-234k range; separate $29,250/yr USD rendering). Used only as loose cross-check."
Glassdoor - Human Resources Director in Serbia,aggregator,"https://www.glassdoor.com/Salaries/serbia-human-resources-director-salary-SRCH_IL.0,6_IN200_KO7,31.htm",2025,yes,low,"~RSD547,665/month estimate (~EUR56,000/yr); sample size/methodology not disclosed."
Glassdoor - Mozzart Bet Salaries in Serbia,aggregator,"https://www.glassdoor.com/Salary/Mozzart-Bet-Serbia-Salaries-EI_IE570381.0,11_IL.12,18_IN200.htm",2026-08,yes,medium,"Human Resources Manager avg $102,467/yr, n=39. Best single company-specific HR data point found; iGaming employer. USD, converted at ~1.09."
Glassdoor - Hr Business Partner (global aggregate),aggregator,"https://www.glassdoor.com/Salaries/hr-business-partner-salary-SRCH_KO0,19.htm",2026,no,low,"Global/US-weighted aggregate, not Serbia-specific - not used."
Glassdoor - Endava Salaries in Belgrade,aggregator,"https://www.glassdoor.com/Salary/Endava-Belgrade-Salaries-EI_IE233751.0,6_IL.7,15_IM1655.htm",2026-08,yes,low,"Company-wide role range $94k-$164k (n=140), no HR-specific role listed - context only."
Glassdoor - EPAM Systems Salaries in Belgrade,aggregator,"https://www.glassdoor.com/Salary/EPAM-Systems-Belgrade-Salaries-EI_IE15544.0,12_IL.13,21_IM1655.htm",2026-04,yes,low,"Company-wide role range $70k-$294k (n=255), no HR-specific role found - context only."
Glassdoor - HTEC Group Salaries in Serbia,aggregator,"https://www.glassdoor.com/Salary/Htec-Group-Serbia-Salaries-EI_IE1432713.0,10_IL.11,17_IN200.htm",2026,no,low,172 salaries for 47 job titles shown; no HR Business Partner/HR Manager role among visible titles.
Glassdoor - Nordeus Salaries in Belgrade/Serbia,aggregator,"https://www.glassdoor.com/Salary/Nordeus-Belgrade-Salaries-EI_IE499747.0,7_IL.8,16_IC4736141.htm",2026,no,low,No HR-specific role found; reviews qualitatively describe comp as 'best in region' with no numeric HR figure.
WorldSalaries.com - HR Director/Officer/Assistant/Generalist/Recruiter in Serbia,aggregator,https://worldsalaries.com/average-human-resources-director-salary-in-serbia/ (and sibling role pages),2025,yes,low,"National annual RSD averages with gender breakdowns (HR Director M RSD2,782,600/F RSD2,653,700 per yr ≈ EUR22.6-23.7k). Blended across all industries nationally, not IT-specific."
WorldSalaries.com - HR Director / Chief HR Officer in Belgrade Serbia,aggregator,https://worldsalaries.com/average-human-resources-director-salary-in-belgrade/serbia/ ; https://worldsalaries.com/average-chief-human-resources-officer-salary-in-belgrade/serbia/,2025,no,low,"Pages returned HTTP 403 on direct fetch; only titles retrieved via search, no figures extracted."
Levels.fyi - Human Resources salaries in Serbia,aggregator,https://www.levels.fyi/t/human-resources/locations/serbia,2026-08,yes,low,"Median $24,000/yr; 25th pctl $21,700; 75th pctl $33,300; 90th pctl $36,000. Crowd-sourced, small sample, not IT-specific."
Levels.fyi - Project Manager salaries in Belgrade,aggregator,https://www.levels.fyi/t/project-manager/locations/belgrade-srb,2026,partial,low,"General (non-HR) Project Manager data only; role-context comparison, not HR figures."
Jobicy.com - HR Manager salary in Serbia,aggregator,https://jobicy.com/salaries/rs/hr-manager,2025,no,low,Page returned HTTP 403 on direct fetch; no usable figures retrieved.
TalentUp.io - HR Manager salary in Serbia,aggregator,https://www.talentup.io/salary/HR%20Manager/Serbia,2025,no,low,Page returned HTTP 403 on direct fetch; no figures retrieved.
Hays Salary Guide 2026 (via 9cv9 blog summary),recruiter_report,https://blog.9cv9.com/salaries-in-serbia-for-2026-a-complete-guide/,2026,yes,medium,"HR Manager RSD140,000-260,000/mo gross cited. Original Hays PDF not directly accessible; used via secondary summary."
Mercer Total Remuneration Survey (TRS),recruiter_report,https://shop.mercer.com/trs.html ; https://www.imercer.com/products/total-remuneration-surveys,2026,no,low,Subscription-only compensation database covering 88 countries incl. Serbia; no public Serbia-specific HR figures accessible.
PwC Serbia - PayWell salary survey,salary_survey,https://www.pwc.rs/en/services/paywell/salary-report.html,2026,no,low,Page returned HTTP 403 on direct fetch; report is subscription/client-restricted - no public figures obtained.
Statistical Office of the Republic of Serbia - Earnings,aggregator,https://www.stat.gov.rs/en-US/oblasti/trziste-rada/zarade,2026-02,yes,low,"Official national avg gross RSD160,067/mo, net RSD116,127/mo (Feb 2026). Whole-economy, not role/sector-specific; used for net/gross ratio validation."
serbia-business.eu - IT salaries in Serbia: role-based pay ranges,aggregator,https://serbia-business.eu/it-salaries-in-serbia-role-based-pay-ranges-and-market-structure/,2026,partial,low,Detailed ranges for dev/QA/DevOps/PM/design roles; explicitly confirmed NO HR/HRBP/HR PM figures present.
Netokracija.rs - FishingBooker IT salary survey coverage,salary_survey,https://www.netokracija.rs/programeri-plate-221962,2026,partial,low,"Survey of 4,944 IT professionals in Serbia; developer/QA bands only, no HR-role breakdown."
Netokracija.rs - HR demand in Serbian IT industry (editorial),aggregator,https://www.netokracija.rs/hr-posao-it-industrija1-192261,2026,no,low,Qualitative article on HR demand growth in Serbian IT; contains no salary figures.
Startit.rs - Plate programera u Srbiji (survey results),salary_survey,https://startit.rs/plate-programera-u-srbiji-5-godina-iskustva-kosta-1445e/ (and related Startit survey articles),2026,no,low,Developer-focused salary survey; no HR role coverage found.
Poslovi.infostud.com - search 'HR Business Partner' (Serbia/Beograd),job_posting,https://poslovi.infostud.com/oglasi-za-posao-hr-biznis-partner,2026-08,no,low,No active postings matched at time of check.
Poslovi.infostud.com - search 'hr projekt menadzer' (Novi Sad),job_posting,https://poslovi.infostud.com/oglasi-za-posao-hr-projekt-menad%C5%BEer/novi-sad,2026-08,no,low,"Zero results for literal 'HR Project Manager' title in Novi Sad. Adjacent posting found: 'HR Systems and Transformation Specialist' at SR Technics Services d.o.o., Belgrade - no salary shown but strong qualitative match to role definition."
Poslovi.infostud.com - search 'HR Manager' (general),job_posting,https://poslovi.infostud.com/oglasi-za-posao-hr-manager,2026-08,no,low,"346 results dominated by unrelated 'manager' titles; one HR-specific listing (Coficab Serbia) is manufacturing not IT, no salary shown."
HelloWorld.rs - HR-related IT job postings in Belgrade,job_posting,https://www.helloworld.rs/posao/HR-Specialist/MENU-Technologies-d.o.o/398442 ; https://www.helloworld.rs/posao/HR-SpecialistRecruiter/Holycode-d.o.o/126518,2025-10,yes,low,"MENU Technologies: HR Specialist USD1,200-1,700/mo net (below HRBP/HR PM seniority). Holycode posting had no salary shown."
LinkedIn Jobs Serbia - HR Project Manager / HR Business Partner / HR Manager searches,job_posting,https://rs.linkedin.com/jobs/human-resources-manager-jobs ; https://rs.linkedin.com/jobs/business-partner-jobs ; https://rs.linkedin.com/jobs/human-resources-jobs,2026-08,no,low,Multiple relevant postings found (e.g. Pactera EDGE 'HR Manager - Serbia') but LinkedIn Serbia does not display salary figures.
Jooble.org (rs.jooble.org) - HR Business Partner / HR Manager listings,job_posting,https://rs.jooble.org/posao-hr-business-partner ; https://rs.jooble.org/posao-hr-manager,2026-08,no,low,"Large aggregated posting counts (1,000+ nationally) but no salary figures surfaced."
CompanyWall.rs - Vega IT Sourcing d.o.o. company financial filing,recruiter_report,https://www.companywall.rs/firma/vega-it-doo-novi-sad/MMxEvzHP0,2025,yes,low,"Official filing: avg gross salary/employee RSD387,425/mo (~EUR3,300/mo) company-wide, not HR-specific - used only as sector-premium sanity check."
