grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,16400,21800,1350,1800,EUR,medium,"recruiting.by IT Benchmarks 2026;dev.by salary data","1 USD ≈ 0.91 EUR; local_sme $1,500-2,000/mo gross; HTP companies dominate market; React dominates"
Junior,0-3,mid_market,19700,26200,1650,2200,EUR,medium,"recruiting.by IT Benchmarks 2026;dev.by","$1,800-2,400/mo gross range; TypeScript expected at mid+ per recruiting.by"
Middle,3-5,local_sme,24000,30600,2000,2550,EUR,medium,"recruiting.by IT Benchmarks 2026","$2,200-2,800/mo gross; local companies lower end"
Middle,3-5,mid_market,28400,38200,2350,3200,EUR,high,"recruiting.by IT Benchmarks 2026;dev.by salaries 2026","$2,600-3,500/mo gross; Effector+React premium ~15-20% within this range in Minsk product companies"
Middle,3-5,premium,34900,46000,2900,3850,EUR,medium,"recruiting.by;dev.by;Wargaming/EPAM posting context","$3,200-4,200/mo; gaming studios and outsourcing giants (Wargaming, EPAM)"
Senior,5-8,local_sme,32800,41500,2750,3450,EUR,medium,"recruiting.by IT Benchmarks 2026","$3,000-3,800/mo gross"
Senior,5-8,mid_market,38200,52400,3200,4350,EUR,high,"recruiting.by IT Benchmarks 2026;dev.by","$3,500-4,800/mo; senior frontend at $3,800 gross cited as benchmark by recruiting.by"
Senior,5-8,premium,45900,65500,3850,5450,EUR,medium,"recruiting.by;dev.by;Wargaming context","$4,200-6,000/mo; Wargaming and top HTP-registered companies"
Lead,7-10,mid_market,49100,71000,4100,5900,EUR,medium,"recruiting.by IT Benchmarks 2026","$4,500-6,500/mo gross; lead/staff engineers"
Lead,7-10,premium,65500,92800,5450,7750,EUR,low,"recruiting.by upper range;dev.by","$6,000-8,500/mo; top-tier gaming/product companies; limited data"
