source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
CareerFinders Cyprus,recruiter_report,https://careerfinders.com.cy/salary-guide/,2025-2026,"IT PM low €30k / avg €45k / above avg €60k/year gross annual",high,"Most reliable local source; actual recruiter placements in Cyprus; 12-month gross; no grade split but range is actionable"
Paylab.com Cyprus IT PM,salary_survey,https://www.paylab.com/cy/salaryinfo/management/project-manager,2025-2026,"80% band €18,336–€50,532/year gross; after 5yr €37,668/year",medium,"<20 respondents; small sample but directional; includes all PM types not IT-specific"
Paylab.com Cyprus Junior PM,salary_survey,https://www.paylab.com/cy/salaryinfo/management/junior-project-manager,2025-2026,"80% band €13,692–€39,168/year gross",low,"Very small sample (<20); treat as directional only"
Paylab.com Cyprus Senior PM,salary_survey,https://www.paylab.com/cy/salaryinfo/management/senior-project-manager,2025-2026,"80% band €24,408–€80,784/year gross; after 5yr €60,792/year",medium,"<20 respondents; wide range reflects market heterogeneity"
Levels.fyi Cyprus,aggregator,https://www.levels.fyi/t/project-manager/locations/cyprus,2026-07,"€42,476–€61,250/year; median €43,847; 90th pct €68,900",medium,"Global tech company reporting bias; skews toward premium employers"
Levels.fyi Limassol,aggregator,https://www.levels.fyi/t/project-manager/locations/limassol-cyp,2026-07,"€50,725–€83,935/year avg €59,345",medium,"Limassol-specific; skews toward iGaming/FinTech premium employers; limited sample"
Levels.fyi Senior PM Limassol,aggregator,https://www.levels.fyi/t/project-manager/levels/senior/locations/limassol-cyp,2026-07,"€45,493–€80,074/year",medium,"Senior-specific Limassol data; consistent with premium segment"
Jobicy.com Cyprus,aggregator,https://jobicy.com/salaries/cy/project-manager,2026-04,"avg $47,250 / entry $28,350–$37,800 / experienced $56,700–$85,050 (USD)",medium,"URL returned 410 Gone at fetch time; figures from search snippet; USD converted at ~1.09 USD/EUR"
Plane.com Cyprus PM,aggregator,https://plane.com/salaries/project-manager/cyprus/for-employees,2025-2026,"median $42,711 / 90th pct $88,213 annual USD gross",low,"Remote-only bias; skews toward internationally-paying employers"
Glassdoor Cyprus,aggregator,https://www.glassdoor.com/Salaries/cyprus-project-manager-salary-SRCH_IL.0,6_IN55_KO7,22.htm,2026,"Nicosia avg shown as €4,000/yr — MISLABELED; corrected to €4,000/month = €48,000/year",medium,"CONFIRMED MISLABELING: Glassdoor Cyprus shows monthly figures labeled as annual; all figures corrected x12"
Emerald Zebra Cyprus,recruiter_report,https://emeraldzebra.cy/for-employers/gaming-hiring-guide-cyprus/,2025-2026,"Product Manager (iGaming proxy): €3,500–€6,000/month = €42,000–€72,000/year",medium,"iGaming/FinTech specialist recruiter; PM proxy from Product Manager data; confirms 25-45% sector premium"
