grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-2,local_sme,16000,22000,1350,1850,EUR,low,"Glassdoor Lisbon junior PM 2026;Paylab Portugal IT PM 2026","Only 1 Glassdoor submission (€16.4-17.8k range); Paylab Portugal low end aligns; extremely limited junior IT PM data for Portugal"
Junior,0-2,mid_market,22000,30000,1850,2500,EUR,low,"PayScale Portugal IT PM 2025;Glassdoor Portugal PM 2026","PayScale early career avg €27.6k (1-4yr); Glassdoor Portugal PM P25 €33.75k → junior below P25; extrapolated from market progression"
Junior,0-2,premium,30000,38000,2500,3150,EUR,low,"SalaryExpert Lisbon IT PM 2026;market inference","SalaryExpert entry Lisbon IT PM €43.8k (likely overestimates); adjusted down; premium = MNCs/international tech in Lisbon; estimated; treat as directional"
Middle,2-5,local_sme,28000,36000,2350,3000,EUR,medium,"PayScale Portugal IT PM 2025;Glassdoor Portugal PM 2026;Levels.fyi Portugal Jul 2026","PayScale median €40k; Glassdoor Portugal PM P25 €33.75k; local segment below P25; 34 PayScale profiles + Glassdoor data"
Middle,2-5,mid_market,36000,46000,3000,3850,EUR,high,"Glassdoor Lisbon IT PM 2026;PayScale Portugal IT PM 2025;Paylab Portugal IT PM 2026","Glassdoor Lisbon IT PM P25-P75 €36-55.4k (52 salaries); PayScale median €40k; Paylab 5yr avg €4305/mo (€51.7k); 3 sources align"
Middle,2-5,premium,46000,56000,3850,4650,EUR,medium,"Glassdoor Lisbon IT PM 2026;SalaryExpert Lisbon IT PM 2026","Glassdoor Lisbon IT PM P75 €55.4k; SalaryExpert Lisbon avg €63.2k (model likely overestimates); premium MNCs/scale-ups in Lisbon"
Senior,5+,local_sme,42000,52000,3500,4350,EUR,medium,"Glassdoor Lisbon senior PM 2026;PayScale Portugal IT PM 2025","Glassdoor senior PM Lisbon P25 €38k; PayScale P50 €40k; local segment typically 15-20% below mid-market"
Senior,5+,mid_market,52000,64000,4350,5350,EUR,medium,"Glassdoor Lisbon IT PM 2026;SalaryExpert Portugal IT PM 2026;Paylab Portugal IT PM 2026","SalaryExpert Portugal IT PM avg €54.9k; Glassdoor Lisbon IT PM avg €44k → senior above avg; Paylab 5yr avg €51.7k; PayScale P90 €72k for all levels"
Senior,5+,premium,64000,76000,5350,6350,EUR,medium,"SalaryExpert Lisbon IT PM 2026;Glassdoor Lisbon senior PM 2026","SalaryExpert Lisbon IT PM avg €63.2k; senior level SalaryExpert €71.3k; Glassdoor Lisbon senior PM P75 €67k; 2 sources consistent"
Lead,7+,mid_market,60000,74000,5000,6150,EUR,low,"SalaryExpert Porto PM senior 2026;Glassdoor Lisbon senior PM 2026","SalaryExpert Porto PM senior avg €71k; SalaryExpert Lisbon IT PM senior €71.3k; lead extrapolated 10-15% above senior P75; limited direct lead-level data for Portugal"
Lead,7+,premium,74000,88000,6150,7350,EUR,low,"SalaryExpert Lisbon IT PM senior 2026;Levels.fyi Portugal 2026","SalaryExpert Lisbon IT PM senior €71.3k; lead/program manager premium estimated 15-20% above senior premium; Levels.fyi P90 €62.6k (all levels combined); very limited data"
Head,10+,premium,80000,100000,6650,8350,EUR,low,"SalaryExpert Lisbon IT PM 2026;SalaryExpert Porto PM senior 2026","Extrapolated from senior data with 15-25% head/director premium; SalaryExpert Lisbon IT PM senior €71.3k baseline; Portugal head-level PM data virtually absent from public sources"
