source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
hh.ru CV выборка — Quantitative Analyst Russia 2026,open_cv,hh.ru резюме «quantitative analyst» / «quant analyst» / «квантовый аналитик» — РФ без ограничения по городу,2026-07,"~300 резюме просмотрено; квант-профиль ≈180-200 анкет; ЗП указана ≈45-50 чел. Junior медиана 150-180К/мес (n≈15): 80К SPbGU; 120К intern; 150К Python quant; 170К ВТБ QRM; 200К ATON/NASKA; 220К Cryptanium; 250К Raiffeisen Capital. Middle медиана 300-340К/мес (n≈15): 250К Transfero Group; 300К Flux Trading HFT; 320К Luxoft; 340К Sber risk quant; 360К Quadcode; 380К Denbrook Investments. Senior медиана 500-550К/мес (n≈15): 350К Инnotех/Открытие; ⭐500К Evoplay+PariMatch+Gotbit (5.5yr iGaming/crypto); 650К Blackrock/Credit Suisse exp; 650К Эксперт РА; 950К 10K€/мес structuring/trading; 1200К 15K$/мес portfolio manager (outlier). Lead (n≈3-4): 450К quant-стратег (Матчинг Гэлэкси); 760К Team Lead DS/ML (Wildberries+Unigestion). Head: 1000К желаемая (Sber CIB Quant, 26yr exp). iGaming: Entain/Bwin (ЗП не раскрыта); Kama Games математик (ЗП не раскрыта)",high,"Первичная CV-выборка, собранная вручную июль 2026. Методология: желаемая зарплата из резюме (не подтверждённый текущий доход); большинство соискателей ЗП скрывают (типично для hh.ru). Выборка смещена вниз — топ-earners на hh.ru не присутствуют. Валюта конверсии: 1$≈80₽, 1€≈95₽ (ориентировочный курс июль 2026). Финтех/банки/HFT/крипта репрезентативны; iGaming с явной ЗП — 1 матч (500К, senior)"
hh.ru Quantitative Analyst Moscow 2026,job_posting,hh.ru,2026,"740+ вакансий в Москве по quant analyst; зарплата до 400К/мес gross для аналитика; quant trader до 906К/мес gross",high,"Основная российская джоб-борда; самая полная база вакансий; salary ceiling 400К/мес для аналитика; trader/HFT постинги достигают 906К+; текущие данные июль 2026"
getgrade.ru Financial Analyst Russia 2026,aggregator,getgrade.ru,2026,"Junior financial analyst gross 94-149К/мес; Middle 150-255К/мес; Senior 300-426К/мес; Lead 720К+/мес",high,"Российская платформа аналитики зарплат; данные по финансовому аналитику использованы как базовый ориентир для local_sme quant; gross → NET ×0.87 (13% НДФЛ)"
kedu.ru Quantitative Developer Russia 2026,salary_survey,kedu.ru/profession/kvantovy-razrabotchik,2026,"Quant developer Russia 200 000-450 000 ₽/мес",medium,"Российская образовательная/карьерная платформа; специфические данные по quant developer; gross → NET ×0.87; использован для mid_market senior и premium диапазонов"
ERI SalaryExpert Moscow Quantitative Analyst 2026,aggregator,salaryexpert.com,2026,"Moscow avg 2 128 066 ₽/год gross (177 339/мес); range 1 481 134-2 591 985 ₽/год; entry 154 045 (est); senior 248 194 (est)",high,"ERI International model-based; Moscow-specific; отображает рыночную среднюю включая менее оплачиваемые роли; gross → NET ×0.87; cross-validation для local_sme и нижнего mid_market"
T-Bank (Tinkoff) Levels.fyi 2026,aggregator,levels.fyi,2026,"T-Bank data analyst медиана 1.96М ₽/год (163К/мес); range 1.18М-1.96М",medium,"Компенсация data analyst, не pure quant; нижний ориентир для mid_market; quant finance роли в T-Bank Investments платят выше"
enigmai.ru Russian Quant Market 2026,salary_survey,enigmai.ru,2026,"Bank analytics specialist 300-480К ₽/мес NET; senior quant developer 500-850К/мес NET",medium,"Российская IT/finance карьерная аналитика; cross-validation для mid_market middle/senior; NET подтверждён"
Renaissance Capital / Sber CIB market context 2026,recruiter_report,рыночные знания — ежегодный обзор российского quant рынка,2026,"Head of Quant Research / senior quant: total comp (base + bonus) USD 200K-1M+ эквивалент на топовых фирмах",low,"Отраслевые знания о топ-компенсации на Renaissance Capital, Sber CIB, VTB Capital; только base в grades CSV; бонус существенно увеличивает total; очень ограниченное публичное раскрытие"
Habr.com/career Russia Quant 2026,aggregator,habr.com/career,2026,"Quant-смежные роли (финансовый аналитик, риск-аналитик): медиана 240К-320К ₽/мес в Москве",medium,"Habr Career ежегодный зарплатный опрос; IT-ориентирован; quant finance роли частично охвачены; cross-check для mid_market middle"
ATS Pipeline DOTO — Россия 2026,ats_pipeline,DOTO ATS внутренняя база — воронка Quant Analyst,2026-07,"Россия: 2 кандидата с раскрытой ЗП из 60 карточек (23 всего с ЗП в воронке). Герасимов Дмитрий (Senior ~7.5 лет Москва Declined) — от 400 000 ₽/мес net. Sharafutdinov Ilia (Lead Data Analyst Сбер ~4 г. Москва Declined) — 600 000–700 000 ₽/мес net (тайтл Lead DA не pure quant)",medium,"Внутренняя ATS-воронка по вакансии Quant Analyst DOTO. Методология: 60 карточек (30 активные/наём 30 отказ); ЗП зафиксирована рекрутером у 23 из 60. Желаемая ЗП не подтверждённый текущий доход. Российские кандидаты указывают NET (рыночная норма). Курс конверсии: 1₽≈0.01€ (ориентировочно июль 2026)"
