grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,600000,804000,50000,67000,RUB,medium,"quick-offer.ru/gamedev-2026;kedu.ru/unity-market;jobcareer.ru","NET after 13% NDFL; regional/small indie studios; 50-65k typical floor in provinces"
Junior,0-3,mid_market,840000,1140000,70000,95000,RUB,high,"dtf.ru/unity-2026;uchis-online.ru/unity;hh.ru postings 2026;habr.com/2026-unity","NET after 13% NDFL; mid-sized mobile/gamedev studios, Moscow area"
Junior,0-3,premium,1080000,1440000,90000,120000,RUB,medium,"habr.com/ru/articles/1016916;dreamjob.ru/unity;getgrade.ru/gamedev","NET after 13% NDFL; top studios (Gaijin, Playrix, My.Games); habr cites 80-120k for confident C# junior"
Middle,3-5,local_sme,1020000,1380000,85000,115000,RUB,medium,"quick-offer.ru/gamedev-2026;kedu.ru/unity-market;jobcareer.ru","NET after 13% NDFL; outsourcing/nearshore, small product studios; 90-130k range across sources"
Middle,3-5,mid_market,1380000,1860000,115000,155000,RUB,high,"dtf.ru/unity-2026;finder.work/unity-moscow;getgrade.ru/gamedev;quick-offer.ru/gamedev-2026","NET after 13% NDFL; mobile studios; finder.work Moscow avg 191k (all levels), quick-offer mid studio 90-130k, dtf 130-200k"
Middle,3-5,premium,1920000,2520000,160000,210000,RUB,medium,"habr.com/ru/articles/1016916;uchis-online.ru/unity;getgrade.ru/gamedev","NET after 13% NDFL; leading studios (Playrix, My.Games, Gaijin); habr cites 160-250k for middle"
Senior,5+,local_sme,1560000,2100000,130000,175000,RUB,medium,"quick-offer.ru/gamedev-2026;kedu.ru/unity-market;uchis-online.ru/unity","NET after 13% NDFL; regional, outsource, smaller studios; kedu 130-200k"
Senior,5+,mid_market,2100000,2820000,175000,235000,RUB,high,"dtf.ru/unity-2026;dreamjob.ru/unity;getgrade.ru/gamedev;quick-offer.ru/gamedev-2026","NET after 13% NDFL; established mobile/gamedev companies; dtf 200-320k, quick-offer 150-250k, dreamjob avg 155k"
Senior,5+,premium,3360000,4500000,280000,375000,RUB,medium,"habr.com/ru/articles/1016916;quick-offer.ru/senior-salary;getgrade.ru/gamedev","NET after 13% NDFL; habr March 2026: 350k+ for senior; getgrade crowdsourced: 450k example; quick-offer top-tier game dev 500-700k (extreme outliers excluded)"
Lead,7+,local_sme,2280000,3060000,190000,255000,RUB,medium,"quick-offer.ru/gamedev-2026;dtf.ru/unity-2026;kedu.ru/unity-market","NET after 13% NDFL; smaller studios, outsource leads; kedu 180-300k range"
Lead,7+,mid_market,3060000,4080000,255000,340000,RUB,medium,"quick-offer.ru/gamedev-2026;getgrade.ru/gamedev;dtf.ru/unity-2026","NET after 13% NDFL; mid-sized product companies; getgrade 297-420k range; dtf 250-450k"
Lead,7+,premium,3960000,5400000,330000,450000,RUB,medium,"getgrade.ru/gamedev;quick-offer.ru/senior-salary;checkroi.ru/vr-ar","NET after 13% NDFL; getgrade Lead Unity 420k example; VR/AR lead 500-700k at large studios (checkroi)"
Head,10+,mid_market,4200000,5760000,350000,480000,RUB,low,"getgrade.ru/gamedev;quick-offer.ru/senior-salary","NET after 13% NDFL; limited data; extrapolated from Lead premium + senior market benchmarks; few dedicated Head roles in Russian gamedev"
Head,10+,premium,6000000,8160000,500000,680000,RUB,low,"checkroi.ru/vr-ar;quick-offer.ru/senior-salary;getgrade.ru/gamedev","NET after 13% NDFL; checkroi VR/AR Lead-to-Head range 500-700k; quick-offer notes real talent shortage at this level; very limited data (2-3 data points)"
