source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
Glassdoor Spain - Unity Developer,aggregator,"https://www.glassdoor.es/Sueldos/unity-developer-sueldo-SRCH_KO0,15.htm",October 2025,Unity Developer Spain avg €30k; P25 €19k; P75 €45k; 9 salary samples,medium,Self-reported; small sample (n=9); Spain-wide. Most useful for typical market data.
Glassdoor Spain - Senior Unity Developer,aggregator,"https://www.glassdoor.es/Sueldos/senior-unity-developer-sueldo-SRCH_KO0,22.htm",May 2026,"Senior Unity Developer Spain avg €45,500; P25 €37,500; P75 €64,000; 17 samples",high,Best senior Unity data for Spain; n=17 is largest sample found.
Glassdoor Barcelona - Unity Developer,aggregator,"https://www.glassdoor.com/Salaries/barcelona-unity-developer-salary-SRCH_IL.0,9_IM1015_KO10,25.htm",March 2026,"Unity Developer Barcelona avg €35k; P25 €19,500; P75 €50k; 6 samples",medium,Barcelona-specific; small sample (n=6).
Glassdoor Barcelona - Senior Unity Developer,aggregator,"https://www.glassdoor.com/Salaries/barcelona-spain-senior-unity-developer-salary-SRCH_IL.0,15_IM1015_KO16,38.htm",2026,"Senior Unity Developer Barcelona avg €48k; P25 €38,500; P75 €71k; P90 €80k",medium,Barcelona-specific senior data. P90 €80k useful for premium ceiling.
Glassdoor Spain - Mid Unity Developer,aggregator,"https://www.glassdoor.es/Sueldos/mid-to-lead-unity-developer-sueldo-SRCH_KO0,27.htm",2025,"Mid Unity Developer Spain avg €32,284; P25 €30,988; P75 €33,580",medium,Very narrow range suggests limited/homogeneous sample. Treat as indicative only.
Glassdoor Barcelona - Lead Game Designer,aggregator,"https://www.glassdoor.com/Salaries/barcelona-lead-game-designer-salary-SRCH_IL.0,9_IC2547194_KO10,28.htm",2026,"Lead Game Designer Barcelona avg €68,500; P25 €54,750; P75 €75,750; P90 €83,700",medium,Not Unity-specific but best lead-level game dev data for Barcelona available.
Glassdoor Spain - Game Developer,aggregator,"https://www.glassdoor.com/Salaries/spain-game-developer-salary-SRCH_IL.0,5_IN219_KO6,20.htm",May 2026,"Game Developer Spain avg €33,500; P25 €21,725; P75 €45,050; P90 €56,800",medium,Confirms mobile/casual game dev pay is lower than Unity developer averages.
ERI SalaryExpert - Unity Developer Spain,aggregator,https://www.salaryexpert.com/salary/job/unity-developer/spain,2026,"Unity Dev avg €50,626/yr; entry-level €35,319; senior €57,002",medium,Regression-based model. Likely overstates actual market vs Glassdoor self-reports. Useful as upper bound for mid-market.
ERI SalaryExpert - Game Developer Spain,aggregator,https://www.salaryexpert.com/salary/job/game-developer/spain,2026,"Game Dev avg €56,085; entry-level €40,096; senior €63,153",medium,Regression model. Consistent directionally with ERI Unity dev data.
ERI SalaryExpert - Software Developer Unity Madrid,aggregator,https://www.salaryexpert.com/salary/job/software-developer-unity/spain/madrid,2026,"Madrid Software Dev Unity avg €53,987/yr",medium,City-specific datapoint for Madrid.
