grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-2,local_sme,22000,28000,1850,2350,EUR,medium,"Glassdoor Spain 2026;Paylab Spain 2026","Small/local companies; Glassdoor Spain junior PM P25-P75 €19.4k-€29.9k (40 salaries); bottom of IT market; below median"
Junior,0-2,mid_market,28000,36000,2350,3000,EUR,medium,"BePM 2026;Glassdoor Barcelona 2026;Paylab Spain IT PM 2026","BePM Spain reports €29.4-35k for 0-2yr; Glassdoor Barcelona junior PM P25-P75 €23.3-29k; Paylab lower band aligns"
Junior,0-2,premium,36000,44000,3000,3650,EUR,low,"BePM 2026;PayScale Spain Jan 2026","BePM multinationals/international employers €32-38k; premium tech/FinTech adds further; limited direct IT junior PM data"
Middle,2-5,local_sme,32000,42000,2650,3500,EUR,medium,"Glassdoor Spain all-PM 2026;Paylab Spain 2026","Glassdoor Spain PM P25 ~€36k; local/SME segment 20-25% below mid-market; Paylab lower mid-band"
Middle,2-5,mid_market,42000,55000,3500,4600,EUR,high,"PayScale Spain IT PM Jan 2026;Glassdoor Barcelona IT PM 2026;Levels.fyi Spain Jul 2026","PayScale IT PM avg €49.9k (81 profiles); Glassdoor BCN IT PM P25-P75 €40.8-56k; Levels.fyi P25-P75 €36.5-62.5k; 3 sources agree"
Middle,2-5,premium,55000,68000,4600,5650,EUR,medium,"Glassdoor Barcelona IT PM 2026;Levels.fyi Spain Jul 2026","Glassdoor BCN IT PM P75 €56k; Levels.fyi P75 €62.5k; premium product/FinTech companies push above P75"
Senior,5+,local_sme,45000,58000,3750,4850,EUR,medium,"Glassdoor Spain senior PM 2026;PayScale Spain Jan 2026","Glassdoor senior PM Spain P25 €43k; local segment 15-20% below mid-market; PayScale P25-median"
Senior,5+,mid_market,58000,72000,4850,6000,EUR,high,"BePM 2026;Glassdoor Spain senior PM 2026;PayScale Spain Jan 2026;Levels.fyi Spain Jul 2026","BePM €55-75k for senior; Glassdoor senior PM P25-P75 €43-70.2k; PayScale P50 €50k (all mid-market); 4 sources consistent"
Senior,5+,premium,72000,88000,6000,7350,EUR,medium,"PayScale Spain Jan 2026;Levels.fyi Spain Jul 2026;BePM 2026","PayScale P90 €73k; BePM complex project specialists >€80k; Levels.fyi P90 €68.3k; premium adds 10-20% vs mid"
Lead,7+,mid_market,68000,82000,5650,6850,EUR,medium,"BePM 2026;Paylab Spain senior PM 2026;SalaryExpert Spain 2026","BePM program manager Spain €65-90k; SalaryExpert senior 8+yr avg €76k; PMO mid-career ~€62k; 2-3 sources"
Lead,7+,premium,82000,100000,6850,8350,EUR,medium,"BePM 2026;SalaryExpert Spain 2026","BePM program manager top end €90k; SalaryExpert Software PM Madrid avg €85.3k; lead premium adds further"
Head,10+,premium,95000,125000,7900,10400,EUR,low,"BePM 2026;SalaryExpert VP PM Madrid 2026","BePM PMO VP positions >€100k in Spain; SalaryExpert Portfolio PM avg ~€79.7k (likely underestimates senior director); only 2 data signals; treat as directional"
