grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,28000,38000,2350,3150,EUR,medium,"SalaryExpert Warsaw 2026;pracuj.pl 2026","Polish local banks and smaller investment companies; financial analyst/risk analyst profiles. SalaryExpert Warsaw entry 154K PLN/year ≈ €36K at 4.25 PLN/EUR; local_sme Junior positioned below aggregator entry average"
Junior,0-3,mid_market,36000,50000,3000,4150,EUR,medium,"SalaryExpert Warsaw 2026;NoFluffJobs 2026;pracuj.pl quant 2026","Large Polish banks (PKO BP, Pekao, mBank) and FinTech companies; risk model junior analyst, regulatory capital modelling trainee. SalaryExpert entry €36K anchors lower range; mid_market commands premium. Gross annual EUR"
Junior,0-3,premium,44000,62000,3650,5150,EUR,low,"NoFluffJobs.com model validation 2026;LinkedIn Poland 2026","Western bank model validation centers in Warsaw (Deutsche Bank Poland, BNP Paribas Poland, Credit Agricole PL); MSCI/CBRE/IHS Markit analytics centers. International employer premium. Limited direct data"
Middle,3-5,local_sme,38000,52000,3150,4350,EUR,medium,"SalaryExpert Warsaw 2026;pracuj.pl 2026","SalaryExpert Warsaw avg 217K PLN/year ≈ €51K; local_sme middle positioned at aggregator average. Traditional Polish financial institution quant analyst"
Middle,3-5,mid_market,52000,74000,4350,6150,EUR,medium,"SalaryExpert Warsaw 2026;NoFluffJobs quant 2026;Glassdoor Poland 2026","Active mid-level quant market: bank model validation (IRB, IFRS9), market risk analytics, algo pricing at Allegro/e-commerce. NoFluffJobs quant/risk analyst postings Warsaw 18K-25K PLN/month gross (€4,235-5,882/mo) validate upper end of this range"
Middle,3-5,premium,68000,95000,5650,7900,EUR,medium,"NoFluffJobs.com 2026;LinkedIn Poland Model Validation 2026","Western bank model validation and quant research teams; Deutsche Bank TechCenter Warsaw known for competitive pay. NoFluffJobs senior model validation role 25K-35K PLN/month supports this range for experienced middle at premium employer"
Senior,5+,local_sme,52000,72000,4350,6000,EUR,medium,"SalaryExpert Warsaw 2026;pracuj.pl senior 2026","SalaryExpert Warsaw senior 248K PLN/year ≈ €58K is mid-point of local_sme senior range. Polish bank risk department senior quant"
Senior,5+,mid_market,72000,102000,6000,8500,EUR,medium,"NoFluffJobs.com 2026;LinkedIn Poland 2026;SalaryExpert 2026;ATS Pipeline DOTO 2026","NoFluffJobs senior quant/risk analyst 25K-32K PLN/month gross (€5,882-7,529/mo); large bank model risk senior anchor. ATS DOTO 2026: Mnevets Daniil (Senior ~6.5 лет, Варшава, Declined) — 6 500 €/мес gross желаемая = 78 000 €/год → подтверждает нижнюю половину диапазона mid_market senior. Well-supported range"
Senior,5+,premium,96000,136000,8000,11350,EUR,medium,"NoFluffJobs.com model validation senior 2026;LinkedIn Poland 2026","Western bank senior model validation specialist; quantitative researcher at international asset manager or FinTech. NoFluffJobs senior model validation postings 30K-42K PLN/month (€7,059-9,882/mo)"
Lead,7+,mid_market,96000,130000,8000,10850,EUR,low,"LinkedIn Poland 2026;NoFluffJobs 2026","Lead Quantitative Analyst / Head of Model team at large Polish bank; limited direct postings. Extrapolated from senior mid_market upper range + leadership premium 25-30%"
Lead,7+,premium,128000,175000,10650,14600,EUR,low,"LinkedIn Poland 2026;market extrapolation","Lead at Western bank model validation center in Warsaw; Director-level model risk at foreign bank. Very limited direct data; extrapolated from senior premium upper range + step-up"
Head,10+,premium,160000,220000,13350,18350,EUR,low,"LinkedIn Poland 2026;market extrapolation","Head of Quantitative Research / Chief Model Risk Officer equivalent at international bank's Warsaw center. Extremely limited data; illustrative range based on premium lead upper + executive premium"
