grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,9000,12000,750,1000,EUR,medium,"Glassdoor C#/Unity Yerevan 2025;salaries.am;WorldSalaries Yerevan 2026","1 EUR ≈ 415 AMD. Glassdoor Yerevan C#/Unity median AMD 400K/mo (n=3, Sep 2025) ≈ €965/mo — that sample is almost certainly junior-only and sets this band"
Junior,0-3,mid_market,13000,17500,1100,1450,EUR,medium,"Armtal Salary Guide;Vardanyan & Partners AM 2026;Glassdoor Yerevan Developer","Armtal/Vardanyan junior band $14.4-19.2K/yr ≈ €13.2-17.6K. Yerevan product companies"
Junior,0-3,premium,21000,27000,1750,2250,EUR,medium,"LinkedIn Jobs Armenia;ingamejob.com Armenia (7 Unity vacancies, 2026);relocated-studio market","Relocated mobile studios with Yerevan hubs. AMD 730K-940K/mo gross"
Middle,3-5,local_sme,14000,18000,1150,1500,EUR,medium,"Vardanyan & Partners AM 2026 (AMD 600K-1.5M/mo gross);salaries.am;Glassdoor Yerevan","AMD 600K/mo gross ≈ €17.4K/yr sits at the top of this band. Armenian-owned companies"
Middle,3-5,mid_market,21000,28000,1750,2350,EUR,high,"Vardanyan & Partners AM 2026;Jobicy AM (avg $24K);Armtal Salary Guide;ICT sector avg €2,028/mo","3 sources converge: Jobicy AM software developer average $24K ≈ €22K; Armenian ICT sector gross average €2,028/mo ≈ €24.3K/yr"
Middle,3-5,premium,33000,43000,2750,3600,EUR,medium,"Vardanyan & Partners AM 2026 (AMD 1.5M/mo gross);LinkedIn Jobs Armenia;ingamejob AM","AMD 1.15M-1.5M/mo gross. Relocated game studios and international product companies in Yerevan"
Senior,5+,local_sme,20000,26000,1650,2150,EUR,medium,"Vardanyan & Partners AM 2026;WorldSalaries Yerevan;salaries.am","Upper end of the Armenian-owned market"
Senior,5+,mid_market,30000,40000,2500,3350,EUR,high,"Armtal Salary Guide (senior $28.8-43.2K);Vardanyan & Partners AM 2026;Jobicy AM","Armtal/Vardanyan senior band $28.8-43.2K/yr ≈ €26.4-39.6K maps almost exactly onto this range"
Senior,5+,premium,46000,60000,3850,5000,EUR,medium,"Vardanyan & Partners AM 2026 (specialist roles AMD 1.5-2.5M/mo);LinkedIn Jobs Armenia;Levels.fyi Armenia","AMD 1.6M-2.1M/mo gross. Playrix-class relocated studios and remote-for-EU contracts; the AMD 1.7M+ total-comp senior benchmark sits inside this band"
Lead,7+,local_sme,28000,36000,2350,3000,EUR,low,"extrapolation from senior;salaries.am (senior/lead AMD 1M-3.5M/mo)","salaries.am lead entries span a very wide AMD 1M-3.5M/mo and are historical — used only directionally"
Lead,7+,mid_market,41000,53000,3400,4400,EUR,medium,"Vardanyan & Partners AM 2026;extrapolation from senior +30%","Team/tech lead at Yerevan product companies"
Lead,7+,premium,60000,78000,5000,6500,EUR,low,"LinkedIn Jobs Armenia;Vardanyan & Partners AM 2026","AMD 2.1M-2.7M/mo. Lead at relocated studios; few published bands"
Head,10+,mid_market,56000,72000,4650,6000,EUR,low,"extrapolation","Technical Director / Head of Engineering; n<3, estimate"
Head,10+,premium,78000,100000,6500,8350,EUR,low,"extrapolation;relocated-studio market","CTO-level at the largest Yerevan studios and iGaming suppliers. No direct postings — estimate only"
