grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,9000,12000,750,1000,EUR,low,"Glassdoor Tbilisi Developer 2026;Paylab Georgia 2026;estimation","1 EUR ≈ 3.0 GEL. Georgian-owned studios and agencies. ERI figures were discounted heavily here — they model the international segment, not the local one"
Junior,0-3,mid_market,14000,18500,1150,1550,EUR,low,"Glassdoor Tbilisi Developer 2026;ERI Unity Tbilisi 2026 (discounted);Paylab GE","Tbilisi companies serving foreign clients. Thin Unity-specific data at this grade"
Junior,0-3,premium,22000,29000,1850,2400,EUR,medium,"ERI Unity Developer Tbilisi 2026 (entry 95,145 GEL ≈ €31.7K);LinkedIn Jobs Georgia","Relocated international studios — the post-2022 wave of gamedev companies moving staff to Tbilisi set this tier. ERI entry sits just above the top of the band"
Middle,3-5,local_sme,14000,18500,1150,1550,EUR,low,"Glassdoor Tbilisi;Paylab Georgia 2026","Local Georgian employers; very limited Unity-specific reporting"
Middle,3-5,mid_market,22000,29000,1850,2400,EUR,low,"ERI Unity Tbilisi 2026;Glassdoor Tbilisi Software Developer;estimation","Tbilisi product companies. ERI Tbilisi Unity average 133,499 GEL ≈ €44.5K blends all levels and skews to the international segment"
Middle,3-5,premium,33000,43000,2750,3600,EUR,medium,"ERI Unity Tbilisi 2026;LinkedIn Jobs Georgia;relocated-studio market","Relocated mobile game studios — the main premium Unity employer type in Georgia"
Senior,5+,local_sme,20000,26000,1650,2150,EUR,low,"Glassdoor Tbilisi Developer;Paylab Georgia;estimation","Upper end of the Georgian-owned market"
Senior,5+,mid_market,31000,41000,2600,3400,EUR,medium,"ERI Unity Tbilisi 2026 (avg 133,499 GEL ≈ €44.5K);ERI Software Developer Tbilisi 2026;Glassdoor Tbilisi","ERI Tbilisi software developer average 166,001 GEL ≈ €55.3K is general SWE; Unity sits below it"
Senior,5+,premium,48000,62000,4000,5150,EUR,medium,"ERI Unity Tbilisi 2026 (senior 8+ yrs 154,844 GEL ≈ €51.6K);LinkedIn Jobs Georgia","ERI senior figure lands inside this band. Relocated studios and remote-for-EU contracts; Georgia's 1% IE flat tax makes take-home unusually high"
Lead,7+,local_sme,28000,36000,2350,3000,EUR,low,"extrapolation from senior;Glassdoor Tbilisi","No published lead-level bands for Georgia; extrapolated"
Lead,7+,mid_market,42000,54000,3500,4500,EUR,low,"ERI Tbilisi 2026;extrapolation from senior +30%","Team/tech lead at Tbilisi product companies"
Lead,7+,premium,62000,80000,5150,6650,EUR,low,"LinkedIn Jobs Georgia;extrapolation","Lead at relocated studios; very limited data"
Head,10+,mid_market,58000,75000,4850,6250,EUR,low,"extrapolation","Technical Director / Head of Engineering; n<3, estimate"
Head,10+,premium,80000,102000,6650,8500,EUR,low,"extrapolation;relocated-studio market","CTO-level at relocated studios. No direct postings found — estimate only"
