source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
Glassdoor - C#/Unity Developer Yerevan,aggregator,https://www.glassdoor.com/Salaries/yerevan-c-unity-developer-salary-SRCH_IL.0%2C7_IC2209718_KO8%2C25.htm,2025-09,"Median AMD 400,000/mo; P25 AMD 200,000; P75 AMD 400,000 (n=3)",low,"The only Unity-specific Armenian source found. n=3 and 2025 data — no 2026 update exists. Sample is almost certainly junior-only; used to set the Junior local_sme band and nothing else"
Vardanyan & Partners - Armenia Recruitment & Salary Trends 2026,recruiter_report,https://armenian-lawyer.com/business-immigration/armenia-recruitment-salary-trends-2025/,2026,"Software developers AMD 600,000-1,500,000/mo gross; senior engineers exceed AMD 1,700,000 total comp; specialist roles AMD 1,500,000-2,500,000/mo. Take-home ~70-75% of gross (20% flat income tax + 5% pension + AMD 10,800 health charge)",high,"The most detailed and current Armenian source. General software, not Unity-specific. Anchors the Middle and Senior mid_market/premium bands"
Armtal - Armenia Salary Guide,salary_survey,https://armtal.com/salary-guide,2026,"Junior developers $14,400-19,200/yr; senior $28,800-43,200/yr",high,Local recruitment agency guide with clean grade splits. Maps closely onto the Vardanyan figures — treated as an independent confirming source
Jobicy - Software Developer Armenia,aggregator,https://jobicy.com/salaries/am/software-developer,2026,Average $24;000/yr for software developers in Armenia,medium,"Remote-first sample. Sits inside the Middle mid_market band; used as a third confirming source there"
Armenian ICT sector wage statistic,salary_survey,"Armenian ICT sector gross average, cited via employsome/UATE reporting",2024,"Gross ICT salary €2,028/mo in 2024, +134% since 2020",medium,"Sector-wide average across all ICT roles and grades, 2024 — the growth trend was used to apply a recency uplift rather than the level itself"
salaries.am open dataset,open_cv,https://salaries.am/data.csv,2019-2024,"Junior AMD 80,000-300,000/mo; mid AMD 400,000-900,000/mo; senior/lead AMD 1,000,000-3,500,000+/mo. One C# Developer entry: AMD 1,100,000, 8 yrs exp (FINCA Armenia, 2019)",low,"Armenia's open self-reported salary dataset. Contains no Unity or Game Developer rows, and the entries are mostly pre-2025 with no gross/net flag. Used only directionally for grade spread"
ingamejob.com Armenia - Unity Developer vacancies,job_posting,https://am.ingamejob.com/en/jobs/p/unity-developer,2026-04,7 open Unity Developer vacancies in Armenia,medium,"CIS gamedev-specific job board. Page returned 403 on fetch so individual bands could not be read; the vacancy count confirms an active Unity market in Yerevan"
Glassdoor - Software Developer Yerevan,aggregator,https://www.glassdoor.com/Salaries/yerevan-armenia-software-developer-salary-SRCH_IL.0%2C15_IM1216_KO16%2C34.htm,2026,"Average AMD 754,000/mo; P25 AMD 384,292; P75 AMD 1,137,500",medium,General software developer benchmark for Yerevan; used to position Unity relative to the wider market
WorldSalaries - Software Developer Yerevan,aggregator,https://worldsalaries.com/average-software-developer-salary-in-yerevan/armenia/,2026,Average software developer salary for Yerevan by experience band,low,Modelled data; cross-check only
Employsome - Average Salary Armenia 2026,recruiter_report,https://employsome.com/hire/armenia/average-salary-armenia/,2026,"National average AMD 303,140/mo (~USD 780); IT band AMD 500,000-1,200,000/mo",medium,Useful for the local_sme floor and for confirming how far above the national average IT sits
Upwork - Game developers in Armenia,job_posting,https://www.upwork.com/hire/game-developers/am/,2026-07,Senior Unity engineers from Yerevan quoting ~$30/hr,low,"Freelance rates, not employment. ~$30/hr ≈ €57K/yr at full utilisation — consistent with the Senior premium band"
