source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
ERI SalaryExpert - Unity Developer Portugal,aggregator,https://www.salaryexpert.com/salary/job/unity-developer/portugal,2026,"Average €39,822/yr (~€19/hr); entry (1-3 yrs) €27,763; senior (8+ yrs) €44,786; average bonus €1,780",medium,"Best Unity-specific national source for Portugal. Modelled rather than survey-based; page blocks direct fetch, figures taken from search result. Anchors the Middle mid_market and Senior local_sme bands"
ERI SalaryExpert - Unity Developer Lisbon,aggregator,https://www.salaryexpert.com/salary/job/unity-developer/portugal/lisbon,2026,"Average €45,800/yr (~€22/hr, +15% vs national); entry €31,931; senior €51,509",medium,"Lisbon premium quantified at +15% over the national average. Used to set the mid_market/premium split"
ERI SalaryExpert - Software Developer Unity Portugal,aggregator,https://www.salaryexpert.com/salary/job/software-developer-unity/portugal,2026,Cross-check of the Unity Developer national figures under an alternate title,low,Same underlying model as the Unity Developer page — not treated as an independent source
Jooble Portugal - Unity Developer,job_posting,https://pt.jooble.org/salary/unity-developer,2026,"Average €30,000/yr from aggregated Portuguese job postings",medium,"Aggregated from real PT listings, so it skews toward the smaller-studio bulk of the market. Anchors the Middle local_sme band"
Damia Group / Landing.jobs - Portuguese Tech Talent Trends & Salary Benchmark 2026,salary_survey,https://www.damiagroup.pt/portuguese-tech-salaries-benchmark/,2026-03,"General PT developer gross annual: junior €28-35K; mid €42-52K; senior €55-70K+",high,"The main Portuguese tech salary survey (Landing.jobs data). Not Unity-specific — a ~15% discount was applied, since Unity/games pays below general software engineering in PT"
Next Level Jobs EU - Software Engineer Salary Portugal,aggregator,https://nextleveljobs.eu/blog/software-engineer-salary/portugal,2026,"Two-tier market: national median base €32-40K; Lisbon/Porto international cluster seniors €90-140K total comp",medium,"Useful for the premium ceiling. The €90K+ tier is general SWE at Google/Cloudflare/Farfetch-type employers; Unity roles top out below it"
Next Level Jobs EU - Companies paying €100k+ in Portugal,aggregator,https://nextleveljobs.eu/blog/companies-paying-100k/portugal,2026,List of PT employers with €100K+ engineering packages,low,Used only to sanity-check the Head-grade premium band
Glassdoor Jobs - Unity Developer Portugal,job_posting,https://www.glassdoor.com/Job/portugal-unity-developer-jobs-SRCH_IL.0%2C8_IN195_KO9%2C24.htm,2026-06,37 open Unity Developer postings in Portugal,medium,Volume indicator confirming an active Unity market; most listings do not publish bands
Lemon.io - Unity Developer rate calculator,recruiter_report,https://lemon.io/rate-calculator/unity-developers/,2026,"Unity contractor rates $30-89/hr by seniority and region; PT software developer contract $29-53/hr (~$58-106K/yr)",low,"Freelance/contract rates for remote-for-US work, not local employment. Used directionally for the premium segment only"
Eurotoptech - Software Engineer Salary Portugal 2026,aggregator,https://www.eurotoptech.com/blog/software-engineer-salary-portugal-2026,2026,General SWE Portugal €32K-€140K; Lisbon vs national split,low,Secondary aggregation of the same underlying sources; used as background context only
