grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,12000,16000,1000,1350,EUR,medium,"InfoPlate.rs Game Developer RS;Glassdoor C#/Unity Belgrade;WorldSalaries RS","117 RSD/EUR. InfoPlate P10 98,873 RSD net/mo ≈ €845 net ≈ €1,225 gross. Small local studios, gross"
Junior,0-3,mid_market,16000,21000,1350,1750,EUR,high,"Glassdoor C#/Unity Belgrade 2026 (P25 €1,647/mo);Jobicy RS Game Developer 2026;InfoPlate.rs","Glassdoor Belgrade C#/Unity P25 €1,647/mo gross; Jobicy RS junior $21.3-28.4K ≈ €19.7-26.2K (skews high, remote sample)"
Junior,0-3,premium,22000,29000,1850,2400,EUR,medium,"Glassdoor Belgrade;Jobicy RS 2026;LinkedIn Jobs Serbia","Nordeus / Playstudios / Two Desperados entry level and international studios in Belgrade and Novi Sad"
Middle,3-5,local_sme,18000,24000,1500,2000,EUR,medium,"InfoPlate.rs Game Developer RS;WorldSalaries RS 2025","Local Serbian-owned studios; gross. InfoPlate sample n<20 — treat as indicative"
Middle,3-5,mid_market,24000,32000,2000,2650,EUR,high,"Glassdoor C#/Unity Belgrade 2026 (median €1,786/mo);InfoPlate.rs;Jobicy RS 2026","Glassdoor Belgrade C#/Unity median €1,786/mo gross ≈ €21.4K/yr sits at the lower edge; Jobicy RS average $35.4K ≈ €32.8K at the upper edge"
Middle,3-5,premium,34000,45000,2850,3750,EUR,medium,"Glassdoor Belgrade (P75 €3,725/mo);Jobicy RS 2026;LinkedIn Jobs Serbia","Glassdoor P75 €3,725/mo ≈ €44.7K/yr. Nordeus (Take-Two), Playstudios, Ubisoft Belgrade"
Senior,5+,local_sme,27000,35000,2250,2900,EUR,medium,"InfoPlate.rs (5 yrs: 260,846 RSD net/mo);WorldSalaries RS","InfoPlate 5-yr figure 260,846 RSD net ≈ €2,229 net ≈ €3,230 gross/mo — top of the local band"
Senior,5+,mid_market,36000,47000,3000,3900,EUR,high,"Glassdoor Belgrade C#/Unity (P75-P90);InfoPlate.rs P90;Jobicy RS 2026","InfoPlate P90 346,114 RSD net/mo ≈ €51.4K/yr gross; Jobicy senior $42.5-63.8K ≈ €39.4-59K — bands overlap here"
Senior,5+,premium,50000,65000,4150,5400,EUR,medium,"Glassdoor Belgrade (P90 €4,350/mo);Jobicy RS 2026;Arc.dev Serbia remote","Glassdoor P90 €4,350/mo ≈ €52.2K. Nordeus/Take-Two, Playstudios, remote-for-EU/US contracts"
Lead,7+,local_sme,36000,46000,3000,3850,EUR,low,"extrapolation from senior;InfoPlate.rs","Tech lead at Serbian-owned studios. No direct published bands"
Lead,7+,mid_market,48000,62000,4000,5150,EUR,medium,"Jobicy RS 2026;LinkedIn Jobs Serbia;extrapolation from senior +30%","Team/tech lead at Belgrade international studios"
Lead,7+,premium,65000,84000,5400,7000,EUR,low,"LinkedIn Jobs Serbia;Arc.dev remote RS;extrapolation","Lead/principal at Nordeus-scale employers and remote-first contracts"
Head,10+,mid_market,65000,85000,5400,7100,EUR,low,"extrapolation;LinkedIn Jobs Serbia","Technical Director / Head of Engineering; n<3, estimate"
Head,10+,premium,88000,115000,7350,9600,EUR,low,"extrapolation;LinkedIn Jobs Serbia","CTO/Technical Director at the largest Belgrade studios; very limited data"
