grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,960000,1560000,80000,130000,RUB,medium,"hh.ru CV выборка 2026;hh.ru Russia Quant 2026;getgrade.ru analyst 2026","NET после 13% НДФЛ. Локальный финтех, небольшие брокеры, региональные инвестиционные компании. CV hh.ru (n≈15, медиана 150-180К/мес): 80 000 ₽ (СПбГУ, junior quant-исследователь), 120 000 ₽ (стажёр-уровень, опыт Morgan Stanley/Liberty Mutual). getgrade.ru junior analyst gross 94-149K/мес × 0.87 NET подтверждает нижнюю границу"
Junior,0-3,mid_market,1800000,3000000,150000,250000,RUB,high,"hh.ru CV выборка 2026;hh.ru Moscow Quant 2026;T-Bank levels.fyi 2026","NET после 13% НДФЛ. Крупные банки (Сбер, ВТБ, Альфа), T-Bank, Ozon/Yandex pricing. CV hh.ru (n≈15): 150 000 ₽ (Python quant), 170 000 ₽ (ВТБ, quantitative researcher QRM), 200 000 ₽ (АТОН, НАСКА), 250 000 ₽ (Райффайзен Капитал, data analyst). Медиана CV ≈150-180К/мес — диапазон 150-250К подтверждён выборкой"
Junior,0-3,premium,2880000,4560000,240000,380000,RUB,low,"hh.ru CV выборка 2026;kedu.ru Quant Dev 2026","NET после 13% НДФЛ. CIB-джуниоры (Сбер CIB, ВТБ Капитал, Т-Банк Инвестиции), HFT junior developer. CV hh.ru: 220 000 ₽ (Cryptanium, крипто), 250 000 ₽ (Райффайзен Капитал) — верхняя граница junior-CV на открытом рынке; CIB-джуниоры редко выкладывают резюме на hh.ru, реальный диапазон выше. kedu.ru quant dev entry ~174-305К NET обоснование"
Middle,3-5,local_sme,1800000,3360000,150000,280000,RUB,medium,"hh.ru CV выборка 2026;getgrade.ru analyst 2026","NET после 13% НДФЛ. CV hh.ru: 200 000 ₽ (Sirius/Credit Agricole, граница local_sme/mid_market). 250 000 ₽ (Transfero Group, крипто-финтех) — верхняя граница local_sme сегмента. getgrade.ru middle financial analyst gross 150-255K/мес × 0.87 → NET 130-222K/мес; quant-надбавка ~10% включена"
Middle,3-5,mid_market,3000000,5280000,250000,440000,RUB,high,"hh.ru CV выборка 2026;enigmai.ru quant 2026;hh.ru Moscow Quant 2026","NET после 13% НДФЛ. CV hh.ru (n≈15, медиана 300-340К/мес): 250 000 ₽ (Transfero Group), 300 000 ₽ (Flux Trading, HFT), 320 000 ₽ (Luxoft financial services), 340 000 ₽ (Сбер, risk quant), 360 000 ₽ (Quadcode, торговая платформа; 4 500$/мес ≈360К), 380 000 ₽ (Denbrook Investments, 4 000€/мес). Диапазон 250-440К хорошо подтверждён CV-выборкой"
Middle,3-5,premium,4800000,9000000,400000,750000,RUB,medium,"hh.ru CV выборка 2026;kedu.ru Quant Dev 2026;CIB market knowledge 2026","NET после 13% НДФЛ. CIB-валидация моделей, pricing quant на Tier-1 CIB деске. CV hh.ru граница: 380 000 ₽ (4 000€/мес, Luxembourg School of Finance / Denbrook) — верхняя граница публичного рынка для middle; CIB premium начинается от 400К по рыночным данным. kedu.ru quant dev upper gross → ~392К NET как нижний ориентир"
Senior,5+,local_sme,2640000,4080000,220000,340000,RUB,medium,"hh.ru CV выборка 2026;getgrade.ru analyst 2026","NET после 13% НДФЛ. CV hh.ru: 350 000 ₽ (Иннотех/Открытие, финтех) — нижняя граница сегмента mid_market/верхняя local_sme. getgrade.ru senior analyst gross 300-426К/мес × 0.87 → 261-371К NET подтверждает диапазон"
Senior,5+,mid_market,5160000,8160000,430000,680000,RUB,high,"hh.ru CV выборка 2026;enigmai.ru 2026","NET после 13% НДФЛ. CV hh.ru (n≈15, медиана без выбросов ≈500-550К/мес): 500 000 ₽ ⭐ключевой матч — Evoplay + PariMatch + Gotbit Hedge Fund (5,5 лет, quant researcher DeFi/Crypto/Data), 650 000 ₽ (Эксперт РА, методолог рисков). Верхний выброс на публичном рынке — 10 000€/мес ≈950К (structuring & trading, брокерская фирма) включён в premium"
Senior,5+,premium,7200000,13200000,600000,1100000,RUB,medium,"hh.ru CV выборка 2026;hh.ru quant trader 2026;CIB market knowledge 2026","NET после 13% НДФЛ. CV hh.ru: 650 000 ₽ (Blackrock/Credit Suisse, международный опыт), 950 000 ₽ (10 000€/мес, structuring & trading, брокерская фирма). 15 000$/мес ≈1 200К (портфельный менеджер) — выброс/консультантская ставка. Нижняя граница снижена до 600К на основе CV-данных. hh.ru quant trader до 906К/мес gross подтверждает верхнюю половину"
Lead,7+,mid_market,6000000,12000000,500000,1000000,RUB,low,"hh.ru CV выборка 2026;hh.ru Moscow top quant 2026","NET после 13% НДФЛ. CV hh.ru (n≈3-4): 450 000 ₽ (quant-стратег, background Head of Data, Матчинг Гэлэкси — нижняя граница); 760 000 ₽ (Team Lead DS/ML, 8 000€/мес, Wildberries + Unigestion, финтех/asset management). Нижняя граница снижена до 500К по CV-данным. Без раскрытия ЗП: «Lead of Quant Research Group» (Insolvent Capital), «Quantitative Research Lead» (Diginavis DMCC, Dubai)"
