source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
Glassdoor Spain Junior PM 2026,aggregator,https://www.glassdoor.com/Salaries/spain-junior-project-manager-salary-SRCH_IL.0,2026,28.htm,May 2026,Junior PM P25 €19450; P75 €29875; 40 submitted salaries,medium,Spain-wide; not IT-specific; broad junior level; primary junior anchor
Glassdoor Barcelona IT PM 2026,aggregator,https://www.glassdoor.com/Salaries/barcelona-spain-it-project-manager-salary-SRCH_IL.0,2026,34.htm,May 2026,Avg €49000; P25 €40800; P75 €56000,high,IT-specific; Barcelona; used as mid_market anchor for middle grade
Glassdoor Madrid PM 2026,aggregator,https://www.glassdoor.com/Salaries/madrid-spain-project-manager-salary-SRCH_IL.0,2026,28.htm,2026,Avg €42250; P25 €31935; P75 €51500; 90th €63400,high,Madrid all-PM; slightly lower than Barcelona for IT PM
Glassdoor Spain Senior PM 2026,aggregator,https://www.glassdoor.com/Salaries/spain-senior-project-manager-salary-SRCH_IL.0,2026,28.htm,Jun 2026,Avg €57150; P25 €43000; P75 €70210,high,Spain-wide senior PM; key senior anchor; good sample
PayScale Spain IT PM Jan 2026,aggregator,https://www.payscale.com/research/ES/Job=Project_Manager%2C_Information_Technology_(IT)/Salary,2026-01,Avg €49912; P10 €35000; P50 €50000; P90 €73000; early career (1-4yr) €47885,high,81 salary profiles; IT-specific; January 2026; most reliable single source for Spain IT PM
BePM Spain PM Salary Guide 2026,salary_survey,https://bepm.academy/en/blog/project-manager-salary/,2026,Junior 0-2yr €29400-35000 (SME €26-32k; MNC €32-38k); senior 6+yr €55000-75000; program manager €65000-90000; PMO VP >€100000,high,Spain-specific breakdown by seniority and company type; strong methodology; most granular Spain data found
Levels.fyi Spain PM Jul 2026,aggregator,https://www.levels.fyi/t/project-manager/locations/spain,2026-07,Median total comp €50501; P25 €36500; P75 €62500; P90 €68300; Madrid avg €57143; Barcelona avg €50233,medium,Total comp incl. stock+bonus; July 12 2026; good for calibrating premium segment; Malaga top-paying at €65.3k
SalaryExpert Spain PM Jun 2026,aggregator,https://www.salaryexpert.com/salary/job/project-manager/spain,2026-06,Avg €67616; entry 1-3yr €48408; senior 8+yr €76082; Software PM Madrid avg €85308; Portfolio PM avg €79675,medium,Model-based (ERI); tends to run 15-20% above actual market; used directionally for lead/head ranges; not primary anchor
Paylab Spain IT PM 2026,aggregator,https://www.paylab.com/es/salaryinfo/information-technology/it-project-manager,2026,IT PM 80th-pctile band €2821-6696/mo (€33.9k-€80.4k annual); junior PM €1473-4260/mo; senior PM €2901-9265/mo; 29 IT PM respondents,medium,Survey-based; 29-50 respondents per role; monthly gross; bands are wide due to all-experience pooling; cross-check tool
iGB-Pentasia Salary Survey 2025 (iGaming),recruiter_report,https://igamingbusiness.com/people/recruitment/igb-pentasia-salary-survey-2025-6/,2025,PM in iGaming (UK market): range £60000-75000 avg £70000; Product Manager £65000-85000,low,GBP figures; UK-centric; no Spain-specific iGaming PM data found; used as premium signal for iGaming domain calibration
Neoretos Spain Salary Benchmarks 2026,salary_survey,https://www.neoretos.com/post/salary-benchmarks-spain-2026,2026,Tech seniority gradient context: junior dev €28-40k; mid €40-60k; senior €55-80k; engineering manager €60-85k,low,No PM-specific data; used for calibrating seniority gradient and company-size premium in Spanish tech market
Getmanfred Tech Salary Guide Spain 2026,salary_survey,https://www.getmanfred.com/en/blog/salary-guide-2026-salaries-in-technology-spain-manfred,2026,PM (broad) 2-5yr €31-45k; 5-10yr €46-55k; >10yr €56-80k; Engineering Manager €60-85k; VP Eng €75-110k,medium,Spain tech jobs market; covers product+project PMs; local startup/scaleup focus; lower end of market; used for local_sme calibration
