grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,7500,10000,600,850,EUR,medium,"Recruitment.by Unity BY 2026;ERI Game Developer Minsk 2026;dev.by context","1 USD ≈ €0.92. Recruitment.by: Unity pay in BY starts at $500-1,000/mo — that floor sets this band. Non-HTP local companies"
Junior,0-3,mid_market,11000,14500,900,1200,EUR,medium,"Recruitment.by Unity BY 2026;Glassdoor Minsk Developer 2026;ERI Minsk","$1,000-1,315/mo. HTP-registered companies; 9% flat income tax for HTP employees materially raises take-home"
Junior,0-3,premium,17000,22000,1400,1850,EUR,low,"Recruitment.by Unity BY 2026;LinkedIn Jobs Belarus","$1,540-2,000/mo. The few remaining international-facing studios. Thin sample after the 2022 exodus"
Middle,3-5,local_sme,13000,17000,1100,1400,EUR,medium,"ERI Game Developer Minsk 2026;Recruitment.by;Paylab Belarus","Local non-HTP employers and service firms"
Middle,3-5,mid_market,19000,25000,1600,2100,EUR,medium,"Recruitment.by Unity BY 2026;Glassdoor Minsk Software Developer 2026;ERI Minsk","$1,720-2,265/mo. Glassdoor Minsk software developer P25 $2,367/mo, median $3,292/mo (figures are monthly despite the site's annual label)"
Middle,3-5,premium,28000,37000,2350,3100,EUR,medium,"Recruitment.by Unity BY 2026 (senior 3+ yrs from $3,000);Glassdoor Minsk;LinkedIn BY","$2,540-3,350/mo. Recruitment.by notes Unity devs with 3+ yrs are offered from $3,000/mo — that threshold falls in this band"
Senior,5+,local_sme,19000,25000,1600,2100,EUR,medium,"ERI Game Developer Minsk 2026 (senior 31,631 BYN);Paylab Belarus","ERI Minsk senior game developer figure is low relative to every other source — it appears to model the non-HTP local market, which is what this band represents"
Senior,5+,mid_market,28000,37000,2350,3100,EUR,high,"Recruitment.by Unity BY 2026;Glassdoor Minsk Software Developer;dev.by market context","Recruitment.by senior-from-$3,000 plus Glassdoor Minsk P75 $3,917/mo bracket this band. HTP product companies"
Senior,5+,premium,40000,52000,3350,4350,EUR,medium,"Recruitment.by Unity BY 2026 (range tops out at $5,500/mo);LinkedIn Jobs Belarus","$3,620-4,710/mo. Remaining international studios and remote contracts paid in USD"
Lead,7+,local_sme,26000,34000,2150,2850,EUR,low,"extrapolation from senior;ERI Minsk","No published lead bands for Belarus; extrapolated"
Lead,7+,mid_market,38000,49000,3150,4100,EUR,medium,"Recruitment.by Unity BY 2026;extrapolation from senior +30%","Team/tech lead at HTP companies"
Lead,7+,premium,54000,70000,4500,5850,EUR,low,"Recruitment.by Unity BY 2026 ($5,500/mo ceiling);LinkedIn Jobs Belarus","The recruitment.by ceiling of $5,500/mo ≈ €60.7K/yr sits mid-band. Very few roles at this level remain in-country"
Head,10+,mid_market,50000,65000,4150,5400,EUR,low,"extrapolation","Technical Director / Head of Engineering; n<3, estimate"
Head,10+,premium,68000,88000,5650,7350,EUR,low,"extrapolation","CTO-level. Most Belarusian studios that had roles at this level relocated their leadership after 2022 — estimate only"
