source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
hh.ru CV analysis Golang TL Russia (все CV),open_cv,hh.ru: поиск резюме «Team lead Golang» Москва,2026-06,yes,high,"~100 CVs; 25 релевантных; Lead диапазон 400K-750K RUB/мес; Финтех 400-700K (медиана 600K); WB 400-750K (медиана 600K); Ozon 420-750K; T-Bank 600-700K; iGaming ~600K; корреляция: 10-15 лет опыта 3-6 лет лидом → 600-700K"
hh.ru CV (только с зп) Golang TL Russia,open_cv,hh.ru: «Team lead Golang» с зп-фильтром Москва,2026-06,yes,high,"Только кандидаты с указанной зп; Fintech 7 CV: 450-720K мед.580K; iGaming 3 CV: 550-720K мед.620K; WB 5 CV: 400-600K мед.500K; Ozon 6 CV: 300-550K мед.490K; Avito 2 CV: ~550K; T-Bank 3 CV: 550-700K мед.625K; VK 1 CV: 600K; корреляция: 3-5л опыта 1-2л лидом → 300-400K; 7-10л 2-4л → 450-550K; 10-15л 4-7л топ-компания → 550-700K; 15+л эксперт → 700K+"
enigmai.ru Go salary 2026,salary_survey,enigmai.ru/salary/golang/,2026,yes,high,"Junior 100–140K; Middle 200–250K; Senior 344K–407K; detailed grade breakdown"
sborka.work Go salary 2026,salary_survey,sborka.work/knowledge/salaries/golang-developer-salary,2026,yes,high,"Full Go dev salary guide RU 2026; grade breakdown"
enigmai.ru Go companies 2026,salary_survey,enigmai.ru/salary/golang/go-salary-companies/,2026,yes,high,"Yandex/Ozon/Avito comparison; Middle 380K–480K Avito; Senior 550K–700K"
hirehi.ru Go top salaries,salary_survey,hirehi.ru/blog/go-razrabotchiki,2026,yes,medium,"Go #1 top-paying language in RU IT; market context"
hh.ru Go vacancies,job_posting,hh.ru: Go разработчик 2026,2026-05,partial,high,"Main RU job board; vacancy salary bands; в РФ все данные в НЕТТ (на руки)"
Habr Career Go Russia,aggregator,career.habr.com/vacancies/go_razrabotchik,2026,yes,high,"Habr community; Go developer vacancy salary data"
balun.courses Go salary 2026,salary_survey,balun.courses/blog/go_salary,2026,yes,medium,"Career growth guide; grade salary data corroborated"
dreamjob.ru Golang,aggregator,dreamjob.ru/salary/golang-razrabotchik,2026,yes,medium,"Russia Golang developer salary aggregated data"
