grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,14500,19000,1200,1600,EUR,medium,Adorio.rs 2026;InfoPlate.rs 2026;Hays Salary Guide 2026,"General Serbian labor-market HRBP entry salary (net RSD converted to gross EUR, RSD/EUR~117.3). Not IT-specific; no genuine junior 'HR Project Manager' postings found - role rarely hired standalone below Middle level."
Junior,0-3,mid_market,18000,23000,1500,1900,EUR,low,Extrapolated from local_sme +~20% IT premium;Glassdoor Belgrade HRBP (n=1),"No direct junior HR PM/HRBP salary postings found at outsourcing/SaaS companies (Endava, EPAM, HTEC, Levi9, Vega IT). Estimate only."
Middle,3-5,local_sme,20000,26000,1650,2150,EUR,medium,Adorio.rs 2026;InfoPlate.rs 2026;Hays Salary Guide 2026,Three independent general-market sources broadly agree after net-to-gross conversion.
Middle,3-5,mid_market,26000,33000,2150,2750,EUR,low,"Glassdoor Belgrade HRBP (n=1, 2026);extrapolation from local_sme +~25%",Only one Glassdoor submission found for this exact title/city; no disclosed-salary postings found at named outsourcing/SaaS employers.
Senior,5+,local_sme,26000,33000,2150,2750,EUR,medium,InfoPlate.rs 2026 (90th pctl);Adorio.rs 2026 (5yr+);Hays Salary Guide 2026,"Upper end of general-market HRBP pay, reasonably consistent across 3 sources."
Senior,5+,mid_market,32000,40000,2650,3350,EUR,low,Extrapolated from local_sme senior +~20-25%;Glassdoor Belgrade HRBP upper estimate,No senior-specific disclosed salary found at named outsourcing/SaaS employers; modeled estimate.
Senior,5+,premium,45000,58000,3750,4850,EUR,low,"Extrapolated ~50-60% of Mozzart Bet HR Manager anchor (Glassdoor, n=39)",No direct senior (non-head) HR salary data for fintech/iGaming; modeled downward from the one strong premium anchor.
Lead,7+,local_sme,30000,38000,2500,3150,EUR,low,Extrapolation from Senior local_sme band; no direct data,'Lead HR PM'/Regional HRBP is an uncommon distinct title at local SMEs - typically folds into Head/Senior.
Lead,7+,mid_market,38000,46000,3150,3850,EUR,low,Extrapolation bridging Middle/Senior mid_market bands and mid_market Head anchor,No disclosed data for this exact grade at outsourcing/SaaS companies; bracketed estimate.
Lead,7+,premium,65000,80000,5400,6650,EUR,low,"Extrapolated ~70-85% of Mozzart Bet HR Manager anchor (Glassdoor, n=39)",No direct source; modeled downward from the Mozzart anchor which likely represents a Head-level role.
Head,10+,local_sme,35000,45000,2900,3750,EUR,low,"WorldSalaries.com HR Director Serbia (national, non-IT);extrapolation",National HR Director averages blend low-paying non-IT sectors; adjusted upward for IT-sector local-SME context. Indicative only.
Head,10+,mid_market,48000,58000,4000,4850,EUR,low,Glassdoor Human Resources Director Serbia estimate (2025/2026),"Glassdoor Serbia-wide HR Director estimate (~RSD547,665/mo =~EUR56,000/yr) used as center point; sample size/methodology undisclosed."
Head,10+,premium,88000,98000,7350,8150,EUR,medium,"Glassdoor: Mozzart Bet 'Human Resources Manager' salaries in Serbia (n=39, Aug 2026)","Best single data point in this research: sizeable sample (39) for one of Serbia's largest iGaming employers ($102,467/yr ≈ EUR94,000 at ~1.09 USD/EUR). Likely the top/sole HR leadership position at Mozzart Group, i.e. Head of HR/HR Director equivalent."
