grade,exp_years,segment,annual_gross_min,annual_gross_max,monthly_gross_min,monthly_gross_max,currency,confidence,sources,notes
Junior,0-3,local_sme,20000,27000,1650,2250,EUR,medium,"CareerFinders Cyprus;Paylab.com/cy","Paylab <20 respondents; CareerFinders local recruiter placements most reliable"
Junior,0-3,mid_market,26000,34000,2150,2850,EUR,medium,"CareerFinders Cyprus;Jobicy.com;Glassdoor Cyprus (corrected)","Glassdoor figures confirmed as monthly mislabeled as annual — corrected to monthly"
Junior,0-3,premium,34000,44000,2850,3650,EUR,medium,"Levels.fyi Limassol;Emerald Zebra Cyprus","iGaming/FinTech employers in Limassol; Levels.fyi skews toward premium tech employers"
Middle,3-5,local_sme,28000,38000,2350,3150,EUR,medium,"CareerFinders Cyprus;Paylab.com/cy","CareerFinders average €45k points to mid-market ceiling; lower bound from Paylab"
Middle,3-5,mid_market,38000,50000,3150,4150,EUR,high,"CareerFinders Cyprus;Jobicy.com;Glassdoor Cyprus (corrected);Levels.fyi Cyprus","Cross-validated across 4 sources; strongest confidence grade"
Middle,3-5,premium,50000,65000,4150,5400,EUR,medium,"Levels.fyi Limassol;Emerald Zebra Cyprus","Emerald Zebra Product Manager proxy (iGaming/FinTech); Limassol premium employers"
Senior,5+,local_sme,40000,52000,3350,4350,EUR,medium,"CareerFinders Cyprus;Paylab.com/cy","Paylab senior 80% upper €4,211/month; CareerFinders 'above average' €5,000/month as ceiling"
Senior,5+,mid_market,52000,65000,4350,5400,EUR,high,"CareerFinders Cyprus;Levels.fyi Cyprus;Jobicy.com;Glassdoor Cyprus (corrected)","Levels.fyi Cyprus median €43,847 — senior skews higher; cross-validated"
Senior,5+,premium,65000,85000,5400,7100,EUR,high,"Levels.fyi Limassol;Emerald Zebra Cyprus;CareerFinders","Levels.fyi Limassol avg €59,345; Emerald Zebra iGaming €42k–€72k annual (PM proxy)"
Lead,7+,mid_market,65000,80000,5400,6650,EUR,medium,"Levels.fyi Limassol;LinkedIn Jobs Cyprus","Extrapolated from Senior mid-market ceiling + seniority progression; limited direct data"
Lead,7+,premium,80000,100000,6650,8350,EUR,medium,"Levels.fyi Limassol;Glassdoor Cyprus (corrected)","Levels.fyi Limassol 90th percentile ~€69k–€84k; premium Lead extrapolated upward"
Head,10+,mid_market,75000,90000,6250,7500,EUR,low,"LinkedIn Jobs Cyprus","Limited data; 2 postings observed; figure extrapolated from Lead mid_market + 15%"
Head,10+,premium,90000,120000,7500,10000,EUR,low,"Levels.fyi;LinkedIn Jobs Cyprus","Very limited data; iGaming/FinTech Head of PMO extrapolated; treat as indicative only"
