source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
dreamjob.ru Unity Developer,aggregator,https://dreamjob.ru/salary/unity-razrabotchik,2026,"avg 155,000₽; top employers: Gaijin 350k, Beresnev 260k, ZiMAD 230k; min 80k, max 350k",high,"11 salary reviews from actual employees; company-level breakdown; small sample but named companies add credibility"
finder.work Unity Moscow,aggregator,https://finder.work/salaries/unity_razrabotchik/moskva,2026,"Moscow avg 191,435₽; median 174,441₽; range 75k-351k; 2649 vacancies",high,"Large vacancy sample (2649); Moscow-specific; no grade breakdown but strong market signal for mid-to-senior"
quick-offer.ru GameDev Salaries 2026,salary_survey,https://quick-offer.ru/news/game-developers-salary,2026,"Unity: Jun 50-70k, Mid 100-130k, Sen 150-200k, Lead 250-300k; by studio size",medium,"2026 published; covers multiple game dev roles; Unity-specific breakdown; broad survey methodology not disclosed"
quick-offer.ru Senior Developer Salaries 2026,salary_survey,https://quick-offer.ru/news/senior-developers-salary,2026,"Senior Unity game dev 500-700k (top studios); EdTech senior 180-320k; general senior median ~285k",medium,"Strong domain benchmarks; 2026 data; GameDev noted as talent-shortage vertical; senior-focused survey"
uchis-online.ru Unity Salaries 2026,aggregator,https://uchis-online.ru/blog/professii/skolko-zarabativaet-razrabotchik-igr-na-unity,2026,"Jun 40-120k; Mid 50-225k; Sen 100-350k; Moscow: Mid 150-250k, Sen avg 280-300k peak 480k",medium,"Broad ranges indicate regional variation captured; Moscow vs regions split; VR/AR noted as premium"
habr.com Unity Developer 2026 Article,salary_survey,https://habr.com/ru/articles/1016916/,March 31 2026,"Jun 80-120k, Mid 160-250k, Sen 350k+",medium,"Published March 31 2026; specific grade breakdowns for Russia market; requires confident C# for junior floor of 80k"
dtf.ru Unity Developer Skills and Salaries 2025-2026,salary_survey,https://dtf.ru/id2419219/4407073-unity-razrabotka-navyki-i-zarplaty-v-2025-godu,2025/2026,"Jun 70-130k, Mid 130-200k, Sen 200-320k, Lead 250-450k",medium,"Mixed 2025/2026 data; game/tech community sourced; Lead range wide (250-450k) confirms broad spread at senior+"
kedu.ru Unity Developer Market Analysis,salary_survey,https://kedu.ru/press-center/profgid/info-prog-vakansii-zarplaty-i-vostrebovannost-unity-razrabotchikov-analiz-rynka/,2025,"Jun 50-80k, Mid 80-130k, Sen 130-200k, Lead 180-300k; VR/AR 120-220k",medium,"2025 data (no dedicated 2026 update found); market analysis article; useful as baseline/floor estimate"
checkroi.ru VR/AR Developer Salaries 2026,salary_survey,https://checkroi.ru/blog/professiya-razrabotchik-vr-ar/,2026,"Jun 80-150k, Mid 150-250k, Sen 250-400k, Lead 500-700k; median ~135k",medium,"VR/AR-specific; 2026 data; significant premium over standard Unity; Lead 500-700k confirmed by checkroi for large industrial/studio Lead"
jobcareer.ru Unity Developer,aggregator,https://www.jobcareer.ru/zarplata/unity-developer/,2026,"avg 124,890₽ from 1M+ postings",medium,"Million-posting aggregate; may include dated/low postings; useful as national baseline; no grade breakdown"
jobfilter.ru Unity Developer,aggregator,https://jobfilter.ru/career/unity-developer,2026,"median 70,775₽; P25 17,276₽; P75 113,878₽",low,"Median unusually low — likely includes part-time, freelance, and regional low-wage postings; wide band reduces utility; use as floor reference only"
hh.ru Unity Developer Vacancies Moscow 2026,job_posting,https://hh.ru/vacancies/unity-razrabotchik,2026,"Specific postings: C# Unity Dev 60-100k; C# Client Dev up to 300k; Android Unity Dev $2-3k/mo",medium,"Real vacancy data; salary-disclosed postings are minority; FunFlow 300k confirms premium tier; range 60k-300k+ across observed postings"
getgrade.ru GameDev Salaries 2026,open_cv,https://getgrade.ru/zarplaty-gamedev,2026,"Senior 450k; Lead 297-420k; Middle 200k (VK); 1700+ specialists; daily updates",medium,"Crowdsourced self-reported salaries; small but growing sample (1700+ specialists); real-time data; best for senior+ anchoring; Nexters/Azur Games/VK examples visible"
career.hh.ru Unity Developer Profession,aggregator,https://career.hh.ru/profession/13,2026,"Median 66,068₽; YoY increase 4,117₽; junior range 26,100-32,500₽ (7 vacancies)",low,"Aggregates very broad range of game/unity dev roles including entry-level/students; median significantly below most other sources — likely includes high volume of beginner/trainee positions; use only as absolute floor"
layboard.in Unity Developer Russia 2026,aggregator,https://layboard.in/vacancies/jobs-in-russia/for-speciality/unity-developer,2026,"Avg salary stated as 800 EUR/mo (approx 96k RUB); 2026 label",low,"Converted from EUR; small sample likely; useful to corroborate floor; broadly consistent with local_sme junior range"
