source_name,source_type,url_or_reference,data_date,figures_found,confidence,notes
allcourses.io 2026,salary_survey,https://allcourses.io/blog/zarplata-menedjera-proektov-analiz-rynka-2026-goda/,2026,"Junior Moscow 80-100K; Middle Moscow 150-190K; Senior Moscow 210-300K+; Lead 265-440K RUB/mo gross; St Petersburg 150-190K mid; regions 70-120K",high,"2026 article; Moscow-specific breakdowns; grade-level data; IT/FinTech identified as top domain; gross figures (net conversion at 13% NDFL applied)"
quick-offer.ru,salary_survey,https://quick-offer.ru/news/project-managers-salary,2026,"Junior 87-95K; Middle 95-150K; Senior 255-350K; Lead 350-686K+ RUB/mo; top employers: Raiffeisen ~305K; HH.ru ~260K; Yandex ~200K",medium,"2026; sources getgrade.ru data (1621 specialists); note large gap Middle-Senior suggesting regional vs Moscow mix"
vc.ru (HR analysis),salary_survey,https://vc.ru/hr/2918449-project-manager-rossiya-analiz-rynka-zarplat-i-trendov,2026,"Junior 90K; Moscow IT median 210-260K; Lead 700K (outlier - AI community); regional floor from 70K RUB/mo",medium,"2026 deep analysis; Lead 700K is extreme outlier; confirms Moscow 30-50% premium over regions; gross vs net unclear"
getgrade.ru,salary_survey,https://getgrade.ru/zarplaty-prodzhekt-menedzherov,2025,"Junior 87-95K; Middle 95-150K; Senior 255-350K; Lead 350-686K+ RUB/mo; 1621 respondents 2024-2025",medium,"2024-2025 data; cited by multiple 2026 articles; Senior jump from Middle looks large (mix of regional Senior vs Moscow Middle)"
skillbox.ru via Habr Career,salary_survey,https://skillbox.ru/media/management/skolko-zarabatyvayut-menedzhery-proektov-i-ot-chego-zavisit-ih-zarplata/,2025,"Habr Career medians: Junior 100K; Middle 167K; Senior 263K; Lead 332K RUB/mo; market floor 50-80K; max 300-400K",high,"Cites Habr Career survey data; 2258 total respondents for project_manager specialty; most reliable median data available; assumed gross"
practicum.yandex.ru,salary_survey,https://practicum.yandex.ru/blog/skolko-zarabatyvaet-project-manager/,2026,"Junior 73-130K; Middle 108-233K; Senior 190K+; Lead 265-440K RUB/mo; national average ~100K; H2-2025 median 160K",medium,"2026; wide ranges indicate aggregate across regions; national median 160K confirms mid-market middle range"
dreamjob.ru,aggregator,https://dreamjob.ru/salary/project-manager,2026,"Average 115K net (na ruki); range 80-150K typical; floor 50K; max 600K; 95 salary reports",low,"Only 95 reports; explicitly states na ruki (net take-home); average 115K net aligns with Junior/lower-Middle conversion"
paylab.com (Russia IT PM),aggregator,https://www.paylab.com/ru/salaryinfo/information-technology/it-project-manager,2026,"80pct range: 65354-213518 RUB/mo gross; 5yr experience median: 155238 RUB gross; <20 verified respondents",low,"Very small sample; gross explicitly stated; 5yr median 155K gross = 135K net confirms Middle mid-market"
levels.fyi Russia,aggregator,https://www.levels.fyi/t/project-manager/locations/russia,2026-07,"Median total comp 2461482 RUB/yr (205K/mo); P25 1723835; P75 3902454; P90 4780000; top: VK 4054390; Wildberries 3968323; Yandex 3230864 RUB/yr",medium,"July 2026; premium top-tech segment only; total comp includes equity/bonus; Moscow 249K/mo; represents premium ceiling"
Habr Career (direct),aggregator,https://career.habr.com/salaries?qualification=All&spec_aliases[]=project_manager,2026,"2258 survey responses; salary figures gated behind login (XXX XXX shown); one visible listing: Senior PM at AGIMA up to 180000 RUB",low,"Login required to see actual figures; 2258 responses indicates good sample size; AGIMA Senior PM 180K/mo is gross upper-mid-market data point"
